case_id,continuous_cmt,passive_cmt,discrete_cmt,passive_lower_than_continuous_pct,passive_lower_than_discrete_pct
flat_1.145_r1,0.2640318671094211,0.10874651379127698,0.24260058154419423,58.81311033330313,55.17466895623795
flat_1.145_r2,0.2533720497336921,0.1185792601677367,0.23219516008024402,53.199549716565016,48.93120936424469
flat_1.145_r3,0.22773734251528494,0.12143080143077968,0.22488253448370082,46.67945094571846,46.0025645346056
flat_1.28_r1,0.24068401421752703,0.11319157587430137,0.2171195951298242,52.97087916607527,47.86671566579712
flat_1.28_r2,0.23014756046001517,0.11225498534642357,0.2150008954864457,51.22477721595218,47.78859637191582
flat_1.28_r3,0.22320854424596995,0.11551109964541492,0.18946016402734994,48.249696249026776,39.031458017348676
raised_1.145_r1,0.25817243332390905,0.14785439168930947,0.25098054963443095,42.730372183536744,41.089302774789225
raised_1.145_r2,0.24736340282300093,0.13557148640344793,0.24133085679392913,45.193393664439874,43.82339324340461
raised_1.145_r3,0.23083457521884124,0.13212368445931796,0.24010378326288317,42.76261069899995,44.972260468441135
raised_1.28_r1,0.23140221463914637,0.12320914014917492,0.224470194060896,46.7554187667089,45.11113572800236
raised_1.28_r2,0.22497154385730195,0.11919749326798594,0.22253973480066633,47.016635426748834,46.437658256960844
raised_1.28_r3,0.2253669869175364,0.12048524477893445,0.21875777955676068,46.53820134578053,44.92298969981437
