case_id,controller,push_off_1_rad_s,push_off_2_rad_s,energy_J,com_displacement_m,cmt,successful_candidate_count,candidate_count,seed
flat_1.145_r1,continuous,1.05,0.65,7.22982825148699,1.2427162616164038,0.2640318671094211,492,14400,0
flat_1.145_r1,discrete,0.7000000000000001,0.96,6.476689034780795,1.2116063920685913,0.2426005815441939,2803,14400,0
flat_1.145_r1,passive,0.48,0.53,3.03408014734329,1.2662284095940572,0.10874651379127698,443,14400,0
flat_1.145_r2,continuous,1.03,0.61,6.877954327354638,1.2319722640607245,0.2533720497336921,619,14400,0
flat_1.145_r2,discrete,0.62,0.99,6.15226598449987,1.2024922554324022,0.23219516008024402,2881,14400,0
flat_1.145_r2,passive,0.55,0.58,3.322559154644984,1.2716404472482674,0.1185792601677367,360,14400,0
flat_1.145_r3,continuous,0.8,0.65,6.071820427979371,1.2099990187503311,0.22773734251528494,1326,14400,0
flat_1.145_r3,discrete,0.86,0.89,5.893354406092961,1.189343160147871,0.22488253448370082,2641,14400,0
flat_1.145_r3,passive,0.61,0.59,3.2177259709112502,1.202598179750182,0.12143080143077968,303,14400,0
flat_1.28_r1,continuous,1.07,0.6900000000000001,7.325904614168675,1.3813838083141505,0.2406840142175269,423,14400,0
flat_1.28_r1,discrete,0.72,0.99,6.386975722348525,1.335047114878377,0.2171195951298242,2705,14400,0
flat_1.28_r1,passive,0.51,0.55,3.453770637840483,1.3847766581143843,0.11319157587430137,401,14400,0
flat_1.28_r2,continuous,0.97,0.65,6.883792788550926,1.3574434957310348,0.23014756046001517,788,14400,0
flat_1.28_r2,discrete,0.73,1.06,6.399632924861264,1.3508749332353283,0.2150008954864457,2499,14400,0
flat_1.28_r2,passive,0.44,0.71,3.4192043092780655,1.38235555582163,0.11225498534642357,505,14400,0
flat_1.28_r3,continuous,0.89,0.62,6.583450540332574,1.3385762335612865,0.22320854424596995,1068,14400,0
flat_1.28_r3,discrete,0.63,1.02,5.536666432530032,1.3262664942401947,0.18946016402734994,2916,14400,0
flat_1.28_r3,passive,0.53,0.52,3.517698730375943,1.3820866481370897,0.11551109964541492,429,14400,0
raised_1.145_r1,continuous,0.92,0.8,6.937247360459956,1.2194883617459662,0.25817243332390905,1123,14400,0
raised_1.145_r1,discrete,0.73,1.16,6.603755302875851,1.194129023521131,0.25098054963443095,1699,14400,0
raised_1.145_r1,passive,0.76,1.16,3.980868575118514,1.2219233357288677,0.14785439168930947,392,14400,0
raised_1.145_r2,continuous,0.9400000000000001,0.87,6.677670294648821,1.2251517179631832,0.24736340282299576,1050,14400,0
raised_1.145_r2,discrete,0.6900000000000001,1.1400000000000001,6.235974799856348,1.1727132832785898,0.24133085679392913,1711,14400,0
raised_1.145_r2,passive,0.74,1.06,3.6002545593254065,1.2052168616342473,0.13557148640344793,419,14400,0
raised_1.145_r3,continuous,0.84,0.8,6.14138230007352,1.2074401726984894,0.23083457521884124,1363,14400,0
raised_1.145_r3,discrete,0.81,1.11,6.231568728129094,1.177873724188287,0.24010378326288317,1549,14400,0
raised_1.145_r3,passive,0.71,1.18,3.582565699548954,1.2305912849930618,0.13212368445931796,392,14400,0
raised_1.28_r1,continuous,1.0,0.8200000000000001,6.801721618638266,1.3339872839614322,0.23140221463914637,824,14400,0
raised_1.28_r1,discrete,0.73,1.12,6.385644627240897,1.2910599564932381,0.224470194060896,1750,14400,0
raised_1.28_r1,passive,0.59,0.89,3.6080459095108535,1.3290137552791839,0.12320914014917492,391,14400,0
raised_1.28_r2,continuous,0.91,0.86,6.6819957640281045,1.3479660526724486,0.22497154385730195,1143,14400,0
raised_1.28_r2,discrete,0.81,1.1300000000000001,6.415906850357675,1.308431019345505,0.22253973480066636,1558,14400,0
raised_1.28_r2,passive,0.67,1.19,3.5093838705978295,1.3361773362343916,0.11919749326798594,478,14400,0
raised_1.28_r3,continuous,0.91,0.84,6.653663301069404,1.3398953180398099,0.2253669869175364,1191,14400,0
raised_1.28_r3,discrete,0.74,1.11,6.197669487266955,1.285775817386397,0.21875777955676068,1689,14400,0
raised_1.28_r3,passive,0.65,1.06,3.5209019229524703,1.3262347742714964,0.12048524477893445,394,14400,0
