controller,n_cases,mean_cmt,sample_sd_cmt,mean_energy_J,mean_com_displacement_m,mean_time_s,push_off_pair_changed_n,n_landing_transitions,pooled_foot_placement_mae_m
continuous,12,0.2381077112551372,0.014224182322766895,6.738869299065919,1.286334999092933,3.6183333333333336,8,36,0.04095273281529577
passive,12,0.12234630641700867,0.011150356815281223,3.48058829062067,1.2949036039005717,2.8091666666666666,2,36,0.041389074711562
discrete,12,0.22662015240511044,0.01643261090198187,6.243008691736688,1.2538010978513259,2.7433333333333336,2,36,0.04426028430392331
