case_id,controller,push_off_1_rad_s,push_off_2_rad_s,energy_J,com_displacement_m,cmt,completed_steps,control_steps,time_s,old_push_off_1_rad_s,old_push_off_2_rad_s,cmt_minus_search,energy_minus_search_J,displacement_minus_search_m,cmt_reproduced,energy_reproduced,displacement_reproduced,seed,landing_transition_count,foot_placement_mae_per_transition_m,landing_metric_source
raised_1.145_r2,continuous,0.9400000000000001,0.87,6.677670294648605,1.2251517179631182,0.24736340282300093,3,332,3.3200000000000003,0.94,0.87,5.162537064506978e-15,-2.1582735598713043e-13,-6.505906924303417e-14,True,True,True,0,3,0.039513356944825516,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.145_r2/continuous
raised_1.145_r2,discrete,0.6900000000000001,1.1400000000000001,6.235974799856348,1.1727132832785898,0.24133085679392913,3,272,2.72,0.69,1.14,0.0,0.0,0.0,True,True,True,0,3,0.0487080956108259,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.145_r2/discrete
raised_1.145_r2,passive,0.74,1.06,3.6002545593254065,1.2052168616342473,0.13557148640344793,3,240,2.4,0.74,1.12,0.0,0.0,0.0,True,True,True,0,3,0.04031171043077555,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.145_r2/passive
raised_1.145_r3,continuous,0.84,0.8,6.14138230007352,1.2074401726984894,0.23083457521884124,3,390,3.9,0.84,0.81,0.0,0.0,0.0,True,True,True,0,3,0.04400960200397308,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.145_r3/continuous
raised_1.145_r3,discrete,0.81,1.11,6.231568728129094,1.177873724188287,0.24010378326288317,3,278,2.7800000000000002,0.81,1.11,0.0,0.0,0.0,True,True,True,0,3,0.04689271101405832,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.145_r3/discrete
raised_1.145_r3,passive,0.71,1.18,3.582565699548954,1.2305912849930618,0.13212368445931796,3,319,3.19,0.71,1.18,0.0,0.0,0.0,True,True,True,0,3,0.029919810888665504,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.145_r3/passive
raised_1.28_r1,continuous,1.0,0.8200000000000001,6.801721618638266,1.3339872839614322,0.23140221463914637,3,330,3.3000000000000003,1.0,0.82,0.0,0.0,0.0,True,True,True,0,3,0.04231975381868643,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.28_r1/continuous
raised_1.28_r1,discrete,0.73,1.12,6.385644627240897,1.2910599564932381,0.224470194060896,3,311,3.11,0.73,1.12,0.0,0.0,0.0,True,True,True,0,3,0.04735843558039075,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.28_r1/discrete
raised_1.28_r1,passive,0.59,0.89,3.6080459095108535,1.3290137552791839,0.12320914014917492,3,321,3.21,0.59,0.89,0.0,0.0,0.0,True,True,True,0,3,0.03295040519951755,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.28_r1/passive
raised_1.28_r2,continuous,0.91,0.86,6.6819957640281045,1.3479660526724486,0.22497154385730195,3,392,3.92,0.91,0.86,0.0,0.0,0.0,True,True,True,0,3,0.03589406217109764,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.28_r2/continuous
raised_1.28_r2,discrete,0.81,1.1300000000000001,6.415906850357674,1.308431019345505,0.22253973480066633,3,296,2.96,0.81,1.13,-2.7755575615628914e-17,-8.881784197001252e-16,0.0,True,True,True,0,3,0.0411523026259946,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.28_r2/discrete
raised_1.28_r2,passive,0.67,1.19,3.5093838705978295,1.3361773362343916,0.11919749326798594,3,318,3.18,0.67,1.19,0.0,0.0,0.0,True,True,True,0,3,0.03514654011221583,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.28_r2/passive
raised_1.28_r3,continuous,0.91,0.84,6.653663301069404,1.3398953180398099,0.2253669869175364,3,374,3.74,0.91,0.84,0.0,0.0,0.0,True,True,True,0,3,0.039056026791800626,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.28_r3/continuous
raised_1.28_r3,discrete,0.74,1.11,6.197669487266955,1.285775817386397,0.21875777955676068,3,324,3.24,0.74,1.11,0.0,0.0,0.0,True,True,True,0,3,0.04870267559446271,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.28_r3/discrete
raised_1.28_r3,passive,0.65,1.06,3.5209019229524703,1.3262347742714964,0.12048524477893445,3,317,3.17,0.65,1.06,0.0,0.0,0.0,True,True,True,0,3,0.03869863662220927,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.28_r3/passive
