case_id,method,status,cmt,time_s,source_record,initial_index,recovery_setting,historical_source_sha256,current_repository_entrypoint_sha256,current_repository_entrypoint_reproduces_historical_record
raised_L1145_r1,Unrestricted discrete PPO,ok,0.267040040566968,1.87,results/paper2_source_aligned_r1_rerun_20260721/raised_L1145_r1_discrete.stdout.txt,"(19,11,15,1)",0.80/1.08,DE48EEC87ACBC56C655C05A99C5B7BC805EAE5D4AD533A94A20FE5415790A8D0,0EE6260A1127F0298F4B8F65AA3F494D27B61BAFCF2E129EBAA5B25F4D7694E8,false
raised_L1145_r1,Continuous-torque PPO,ok,0.2780932427752225,1.99,results/paper2_source_aligned_r1_rerun_20260721/raised_L1145_r1_continuous_source_aligned_recovery_1p00.stdout.txt,"(19,11,15,1)",1.00/0.89,1F1DB06227A0D1B4DB268B9C479088DF4BD0FDBDB483ACE5DEB3F83DFA6F9520,B51112CEEA856323088D5B754C4BC910036A8BC6558CC28DA9921E083E29ECBC,false
raised_L1145_r1,LIPM COM,ok,0.301544,,results/paper2_source_aligned_r1_rerun_20260721/raised_L1145_r1_lipm_source_aligned_recovery_0p95.stdout.txt,"(19,11,15,1)",0.95/0.89,41CEB5E7F102780EF7CD6FF43D5B1CCA52A8505C08ABA26CB0BB84A31DB6B874,41CEB5E7F102780EF7CD6FF43D5B1CCA52A8505C08ABA26CB0BB84A31DB6B874,true
