seed,episode_index,walk_direction,reset_phase,commanded_step_length_m,commanded_step_height_m,controller,display_label,time_s,state_index,action_index,selected_sign,q1_deg,q2_deg,q3_deg,q4_deg,dq1_rad_s,dq2_rad_s,dq3_rad_s,dq4_rad_s,com_x_m,com_y_m,signed_com_displacement_m,support_knee_torque_nm,hip_torque_nm,swing_knee_torque_nm,support_knee_motor_rate_rad_s,hip_motor_rate_rad_s,swing_knee_motor_rate_rad_s,support_knee_positive_power_w,hip_positive_power_w,swing_knee_positive_power_w,support_knee_cumulative_positive_work_j,hip_cumulative_positive_work_j,swing_knee_cumulative_positive_work_j,running_cmt,terminal_reason,formal_final_cmt,replayed_final_cmt
20260719,1155,-1.0,touchdown,0.3,0.01,active,Active PPO,0.0,0,,,56.613073456604674,59.31476625997926,-58.55115100369986,19.738053813752796,0.7281631125007952,-0.811061171060985,-0.24245632669221728,-0.48814829806389437,-0.015384795989941523,0.3352719618102884,-0.0,,,,,,,,,,0.0,0.0,0.0,nan,,,
20260719,1155,-1.0,touchdown,0.3,0.01,active,Active PPO,0.01,1,9,nan,56.90755715843414,59.05961280604061,-58.87520036857613,18.994774162711572,0.2991821805378219,-0.07766595140860144,-0.8907545218138015,-2.1091562975716407,-0.016570867279493365,0.33586036642893236,0.001186071289551843,-0.2,0.0,-0.2,-0.4443635612347932,-0.5666054242530094,-1.2986522978177675,0.08887271224695864,-0.0,0.2597304595635535,0.0008887271224695864,0.0,0.002597304595635535,0.1177882451132477,,,
20260719,1155,-1.0,touchdown,0.3,0.01,active,Active PPO,0.02,2,9,nan,56.95558397531071,59.22727707323958,-59.574706827707175,17.315743524472545,-0.1314998236996039,0.6636308987334533,-1.5537997318064565,-3.7582354681003434,-0.017692837072608197,0.33564926475618534,0.002308041082666674,-0.2,0.0,-0.2,0.2929824736624259,-1.2222771268101291,-2.933695882835992,0.0,-0.0,0.5867391765671984,0.0008887271224695864,0.0,0.00846469636130752,0.16240839460994008,,,
20260719,1155,-1.0,touchdown,0.3,0.01,active,Active PPO,0.03,3,9,nan,56.75728470049541,59.82020754532475,-60.65925510086882,14.679069842227557,-0.5600107269544228,1.4056442456553149,-2.2352230218737867,-5.454452998984464,-0.01875107177157043,0.3346383421056,0.0033662757816289076,-0.2,0.0,-0.2,1.0346375721943841,-1.8945113768401216,-4.606344233542403,0.0,-0.0,0.9212688467084806,0.0008887271224695864,0.0,0.017677384828392324,0.22103074257861546,,,
20260719,1155,-1.0,touchdown,0.3,0.01,active,Active PPO,0.04,4,9,nan,56.31500754118432,60.83693092382515,-62.139763036654855,11.054679006428012,-0.9825133190402349,2.1419745087741835,-2.9356769167464294,-7.205963274247706,-0.01974685759379854,0.332824893412302,0.004362061603857019,-0.2,0.0,-0.2,1.7738093772147492,-2.5854499693101083,-6.3302081366160845,0.0,-0.0,1.266041627323217,0.0008887271224695864,0.0,0.03033780110162449,0.28688861755018447,,,
20260719,1155,-1.0,touchdown,0.3,0.01,active,Active PPO,0.05,5,14,nan,55.64191780732122,62.27601400040183,-63.80064426522942,7.429992771310396,-1.3621639213135406,2.8713736695260237,-2.853906282772517,-5.435961300567407,-0.020684660694815088,0.33016902675992826,0.005299864704873565,0.0,0.0,0.2,2.5066740891501036,-2.894791599759473,-6.320962287407557,0.0,-0.0,0.0,0.0008887271224695864,0.0,0.03033780110162449,0.2361241074792936,,,
20260719,1155,-1.0,touchdown,0.3,0.01,active,Active PPO,0.06,6,21,nan,54.919184434938636,63.87191324948228,-64.64785145801298,6.205481775684533,-1.1612207407143091,2.6999890231611894,-0.10095590484758254,1.1732270718275934,-0.021404259165988204,0.3268843930577166,0.006019463176046682,0.0,4.0,-0.2,2.7856813463436065,-1.4774310938100497,-2.131367114369907,0.0,0.0,0.4262734228739814,0.0008887271224695864,0.0,0.03460053533036431,0.23627655078674825,,,
20260719,1155,-1.0,touchdown,0.3,0.01,active,Active PPO,0.07,7,14,nan,54.153992093451826,65.61058958659129,-64.67030420473903,7.3981964977402725,-1.5064032299808154,3.36357115204413,0.023329323223923615,2.986473622566682,-0.021905870379373804,0.3229674101715766,0.0065210743894322815,0.0,0.0,0.2,3.0317800876026597,-0.038813290811829465,2.0798503471971377,0.0,-0.0,0.41597006943942755,0.0008887271224695864,0.0,0.03876023602475858,0.24366552683712117,,,
20260719,1155,-1.0,touchdown,0.3,0.01,active,Active PPO,0.08,8,14,nan,53.196949122952425,67.71991975963098,-64.62090782724374,9.621693559450142,-1.8308101672214945,3.9939031317608866,0.14856215488315808,4.767664329586485,-0.022357567301367617,0.31816189641544945,0.006972771311426094,0.0,0.0,0.2,3.6787371419025083,0.08594573905354085,3.8770689760765835,0.0,0.0,0.7754137952153167,0.0008887271224695864,0.0,0.04651437397691175,0.2724474471077429,success,0.2724474471077429,0.2724474471077429
20260719,1155,-1.0,touchdown,0.3,0.01,true_action_mask_scratch,True per-step action mask,0.0,0,,,56.613073456604674,59.31476625997926,-58.55115100369986,19.738053813752796,0.7281631125007952,-0.811061171060985,-0.24245632669221728,-0.48814829806389437,-0.015384795989941523,0.3352719618102884,-0.0,,,,,,,,,,0.0,0.0,0.0,nan,,,
