validity_definition,n_seed_streams,unweighted_stream_mean_delta_cmt,stream_mean_delta_cmt_sd,stream_mean_delta_cmt_min,stream_mean_delta_cmt_max,inverse_variance_fixed_mean_delta_cmt,cochran_Q,cochran_Q_df,cochran_Q_p,I2_percent
A,15,-1.0773016623288831,0.20990495763262104,-1.4917851123954302,-0.796474022832077,-1.0128252198309564,12.52487085524996,14,0.564228373004528,0.0
B,15,-1.0773016623288831,0.20990495763262104,-1.4917851123954302,-0.796474022832077,-1.0128252198309564,12.52487085524996,14,0.564228373004528,0.0
