batch,seed,validity_definition,n_pairs,active_success_n,selector_success_n,active_success_rate,selector_success_rate,selector_minus_active_success_rate,active_valid_n,selector_valid_n,active_valid_rate,selector_valid_rate,selector_minus_active_valid_rate,both_valid_n,both_valid_rate,active_mean_cmt_both_valid,selector_mean_cmt_both_valid,mean_selector_minus_active_cmt,median_selector_minus_active_cmt,fraction_selector_lower_cmt,zero_torque_success_displacement_active_n,zero_torque_success_displacement_selector_n,paired_delta_variance,paired_delta_standard_error
batch01,20261101,A,720,316,309,0.4388888888888889,0.42916666666666664,-0.009722222222222243,149,157,0.20694444444444443,0.21805555555555556,0.011111111111111127,136,0.18888888888888888,1.1530515306075229,0.2903303484127732,-0.8627211821947496,-0.24852390935892027,0.8088235294117647,0,0,4.180243391084229,0.17531994683427288
batch01,20261101,B,720,316,309,0.4388888888888889,0.42916666666666664,-0.009722222222222243,149,157,0.20694444444444443,0.21805555555555556,0.011111111111111127,136,0.18888888888888888,1.1530515306075229,0.2903303484127732,-0.8627211821947496,-0.24852390935892027,0.8088235294117647,0,0,4.180243391084229,0.17531994683427288
batch01,20261102,A,720,344,337,0.4777777777777778,0.46805555555555556,-0.009722222222222243,156,168,0.21666666666666667,0.23333333333333334,0.016666666666666663,144,0.2,1.5483367742563425,0.6019039087584138,-0.946432865497929,-0.4162463422726174,0.8194444444444444,0,0,2.9082016310228083,0.14211208484812476
batch01,20261102,B,720,344,337,0.4777777777777778,0.46805555555555556,-0.009722222222222243,156,168,0.21666666666666667,0.23333333333333334,0.016666666666666663,144,0.2,1.5483367742563425,0.6019039087584138,-0.946432865497929,-0.4162463422726174,0.8194444444444444,0,0,2.9082016310228083,0.14211208484812476
batch01,20261103,A,720,342,339,0.475,0.4708333333333333,-0.004166666666666652,183,196,0.25416666666666665,0.2722222222222222,0.018055555555555547,165,0.22916666666666666,2.150338862136573,0.6585537497411427,-1.4917851123954302,-0.4259372437508336,0.8363636363636363,0,0,14.271649663898394,0.29410006196508875
batch01,20261103,B,720,342,339,0.475,0.4708333333333333,-0.004166666666666652,183,196,0.25416666666666665,0.2722222222222222,0.018055555555555547,165,0.22916666666666666,2.150338862136573,0.6585537497411427,-1.4917851123954302,-0.4259372437508336,0.8363636363636363,0,0,14.271649663898394,0.29410006196508875
batch02,20261111,A,720,345,322,0.4791666666666667,0.44722222222222224,-0.03194444444444444,172,166,0.2388888888888889,0.23055555555555557,-0.008333333333333331,145,0.2013888888888889,1.8379141648473694,0.7394898863243453,-1.098424278523024,-0.3758261965215528,0.7655172413793103,0,0,6.497753559299041,0.21168867119524176
batch02,20261111,B,720,345,322,0.4791666666666667,0.44722222222222224,-0.03194444444444444,172,166,0.2388888888888889,0.23055555555555557,-0.008333333333333331,145,0.2013888888888889,1.8379141648473694,0.7394898863243453,-1.098424278523024,-0.3758261965215528,0.7655172413793103,0,0,6.497753559299041,0.21168867119524176
batch02,20261112,A,720,317,307,0.44027777777777777,0.4263888888888889,-0.013888888888888895,144,152,0.2,0.2111111111111111,0.0111111111111111,130,0.18055555555555555,1.7538032783343112,0.2915048246173651,-1.4622984537169463,-0.3895831239037183,0.9,0,0,7.439822937728147,0.23922668583018378
batch02,20261112,B,720,317,307,0.44027777777777777,0.4263888888888889,-0.013888888888888895,144,152,0.2,0.2111111111111111,0.0111111111111111,130,0.18055555555555555,1.7538032783343112,0.2915048246173651,-1.4622984537169463,-0.3895831239037183,0.9,0,0,7.439822937728147,0.23922668583018378
batch02,20261113,A,720,341,338,0.4736111111111111,0.46944444444444444,-0.004166666666666652,160,174,0.2222222222222222,0.24166666666666667,0.01944444444444446,145,0.2013888888888889,1.2554651768510574,0.3575629080476172,-0.8979022688034404,-0.23402694596389217,0.7448275862068966,0,0,4.641446078229339,0.1789133112803678
batch02,20261113,B,720,341,338,0.4736111111111111,0.46944444444444444,-0.004166666666666652,160,174,0.2222222222222222,0.24166666666666667,0.01944444444444446,145,0.2013888888888889,1.2554651768510574,0.3575629080476172,-0.8979022688034404,-0.23402694596389217,0.7448275862068966,0,0,4.641446078229339,0.1789133112803678
batch03,20261121,A,720,352,342,0.4888888888888889,0.475,-0.013888888888888895,173,179,0.24027777777777778,0.24861111111111112,0.008333333333333331,153,0.2125,1.2433957708605246,0.3177666205693457,-0.9256291502911791,-0.35592437448232717,0.7973856209150327,0,0,2.6057658199456695,0.130503444973578
batch03,20261121,B,720,352,342,0.4888888888888889,0.475,-0.013888888888888895,173,179,0.24027777777777778,0.24861111111111112,0.008333333333333331,153,0.2125,1.2433957708605246,0.3177666205693457,-0.9256291502911791,-0.35592437448232717,0.7973856209150327,0,0,2.6057658199456695,0.130503444973578
batch03,20261122,A,720,354,352,0.49166666666666664,0.4888888888888889,-0.002777777777777768,168,173,0.23333333333333334,0.24027777777777778,0.0069444444444444475,148,0.20555555555555555,1.6579765900617094,0.49711757456834565,-1.1608590154933636,-0.4672567150836362,0.8378378378378378,0,0,6.0663323417799715,0.20245674115487947
batch03,20261122,B,720,354,352,0.49166666666666664,0.4888888888888889,-0.002777777777777768,168,173,0.23333333333333334,0.24027777777777778,0.0069444444444444475,148,0.20555555555555555,1.6579765900617094,0.49711757456834565,-1.1608590154933636,-0.4672567150836362,0.8378378378378378,0,0,6.0663323417799715,0.20245674115487947
