validity_definition,raw_record_pooled_mean_delta_cmt,both_valid_n_weighted_batch_mean_delta_cmt,equal_batch_mean_delta_cmt_diagnostic_only,pooled_both_valid_n
A,-1.0802658214053111,-1.0802658214053111,-1.0812361378509325,2244
B,-1.0802658214053111,-1.0802658214053111,-1.0812361378509325,2244
