seed,episode_index,walk_direction,reset_phase,commanded_step_length_m,commanded_step_height_m,hold_success,requery_success,hold_valid_for_cmt,requery_valid_for_cmt,both_valid_for_cmt,hold_cmt,requery_cmt,requery_minus_hold_cmt,requery_lower_cmt,hold_energy_j,requery_energy_j,hold_displacement_m,requery_displacement_m,hold_terminal_reason,requery_terminal_reason,hold_sign_switch_count,requery_sign_switch_count,hold_sign_sequence_rle,requery_sign_sequence_rle
20260702,25,1.0,mid_cross,0.3,0.0,False,False,False,False,False,nan,nan,nan,,0.7029419281520772,0.49267853960158,0.06666582349267469,0.055416863142657605,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,0,1,+x14,+x4|-x9
20260702,26,1.0,pre_cross,0.3,0.0,False,False,False,False,False,nan,nan,nan,,0.66207972250504,0.42135706859759625,0.01054371463196875,0.006958020396091225,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_bad_clearance,0,1,+x11,+x4|-x7
20260702,27,1.0,mid_cross,0.3,0.0,False,False,False,False,False,nan,nan,nan,,0.7616867653036001,0.2979151684328492,0.0005716988053888761,-0.0071923900555261044,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_bad_clearance,0,1,+x12,+x3|-x6
20260702,28,1.0,mid_cross,0.3,0.0,False,False,False,False,False,nan,nan,nan,,0.37012473927497946,0.41549346611287874,-0.00963957849396696,-0.005333524677393252,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,0,1,+x23,+x7|-x20
20260702,29,1.0,pre_cross,0.3,0.0,False,False,False,False,False,nan,nan,nan,,1.386326181248514,1.0586431397626543,0.02366088741748995,0.019163001246619085,clearance_ground+foot_ground_bad_clearance,clearance_ground+foot_ground_bad_clearance,0,1,+x13,+x5|-x7
20260702,30,1.0,mid_cross,0.3,0.0,False,False,False,False,False,nan,nan,nan,,0.05148064919776019,0.05148064919776019,-0.026317687621287313,-0.026317687621287313,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,0,0,-x7,-x7
20260702,31,1.0,touchdown,0.3,0.0,True,False,True,False,False,2.801675598193403,nan,nan,,0.1886723374126689,0.1739967304233102,0.0026988067816263728,0.0031532494316762194,success,clearance_ground+foot_ground_before_ready,0,2,-x7,-x4|+x1|-x4
20260702,32,1.0,mid_cross,0.3,0.0,True,False,True,False,False,0.7319856109845008,nan,nan,,0.4538452671974778,0.5014955974170182,0.024847727603018316,0.02035864051339953,success,clearance_ground+foot_ground_before_ready,0,1,+x14,+x8|-x6
20260702,33,1.0,mid_cross,0.3,0.0,False,False,False,False,False,nan,nan,nan,,0.46300855384938105,0.3234310675199997,-0.08075516968311187,-0.05244846113951981,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,0,1,+x21,+x3|-x10
20260702,34,1.0,touchdown,0.3,0.0,True,True,True,True,True,0.019961232905092198,0.01994301232107365,-1.8220584018548147e-05,True,0.008542015103016479,0.008542015103016479,0.01714961534331247,0.017165283789092767,success,success,0,1,+x6,+x4|-x2
