analysis_set,metric_family,metric,value
at_least_one_requery_switch,valid_cmt,both,181
at_least_one_requery_switch,valid_cmt,hold_only,61
at_least_one_requery_switch,valid_cmt,requery_only,15
at_least_one_requery_switch,valid_cmt,neither,1062
at_least_one_requery_switch,valid_cmt,hold_rate,0.18347232752084913
at_least_one_requery_switch,valid_cmt,requery_rate,0.14859742228961334
at_least_one_requery_switch,valid_cmt,requery_minus_hold_risk_difference,-0.034874905231235785
at_least_one_requery_switch,valid_cmt,requery_minus_hold_percentage_points,-3.4874905231235784
at_least_one_requery_switch,valid_cmt,paired_ci95,"[-0.047691639241901417, -0.022058171220570154]"
at_least_one_requery_switch,valid_cmt,paired_ci95_percentage_points,"[-4.769163924190142, -2.2058171220570153]"
at_least_one_requery_switch,valid_cmt,paired_bootstrap_ci95,"[-0.047763457164518575, -0.021986353297952996]"
at_least_one_requery_switch,valid_cmt,paired_bootstrap_ci95_percentage_points,"[-4.776345716451857, -2.1986353297952994]"
at_least_one_requery_switch,valid_cmt,exact_mcnemar_p_two_sided,9.842847414734724e-08
at_least_one_requery_switch,cmt_on_both_valid,n_both_valid,181
at_least_one_requery_switch,cmt_on_both_valid,hold_mean_cmt,0.28178759879381954
at_least_one_requery_switch,cmt_on_both_valid,requery_mean_cmt,0.3850165417875996
at_least_one_requery_switch,cmt_on_both_valid,mean_requery_minus_hold_cmt,0.10322894299378003
at_least_one_requery_switch,cmt_on_both_valid,bootstrap_ci95_mean_difference,"[-0.035005841336269584, 0.2642822575649691]"
at_least_one_requery_switch,cmt_on_both_valid,requery_lower_count,80
at_least_one_requery_switch,cmt_on_both_valid,hold_lower_count,90
at_least_one_requery_switch,cmt_on_both_valid,tie_count,11
at_least_one_requery_switch,cmt_on_both_valid,requery_lower_fraction,0.4419889502762431
