batch,n,active_success_rate,proposed_success_rate,hard_mask_success_rate,proposed_minus_active_success_pp,common_valid_active_proposed,active_common_mean_cmt,proposed_active_common_mean_cmt,common_valid_hard_proposed,hard_common_mean_cmt,proposed_hard_common_mean_cmt
batch01,2160,0.4828703703703704,0.48055555555555557,0.4689814814814815,-0.2314814814814825,510,1.3785272126296906,0.6997124592185822,474,1.3088387847540695,0.4631176833222353
batch02,2160,0.49212962962962964,0.49722222222222223,0.475462962962963,0.5092592592592593,528,1.4826500546370212,0.7393052446629942,483,1.3387893955998638,0.5968246758175096
batch03,2160,0.4898148148148148,0.4912037037037037,0.47638888888888886,0.1388888888888884,502,1.4317527337669587,0.8319938878097333,452,1.4630418629355606,0.7171594772335166
batch04,2160,0.47638888888888886,0.47962962962962963,0.44907407407407407,0.3240740740740766,492,1.6529010166786828,0.8594369189407854,431,1.4811176047277288,0.6254189474008328
batch05,2160,0.47962962962962963,0.48055555555555557,0.4587962962962963,0.09259259259259411,507,1.6733764924181564,0.8518497595274299,463,1.4733481110813516,0.677145087306602
