controller,n,success_count,success_rate,valid_count,valid_rate,mean_cmt,sample_sd_cmt,median_cmt,mean_hip,mean_support_knee,mean_swing_knee
active,10800,5229,0.4841666666666667,2652,0.24555555555555555,1.7045000987256749,3.797322206013329,0.6073360484369694,1.5327972058196122,0.036493364422428454,0.1352095284836346
hard_mask,10800,5030,0.46574074074074073,2446,0.22648148148148148,1.5132414410056052,2.291820845198669,0.782439296946402,1.4230233393195024,0.021888165630791455,0.0683299360553115
two_expert,10800,5083,0.47064814814814815,2728,0.2525925925925926,0.46310058338301613,1.9855356173192558,0.056153531332801904,0.390685591679703,0.003931818685179051,0.0684831730181339
proposed_three_expert,10800,5247,0.48583333333333334,2836,0.2625925925925926,0.7666933164724796,2.537978425357301,0.10713251035214516,0.6570188530444724,0.011723713529626372,0.09795074989838091
sign_oracle,10800,5236,0.4848148148148148,2889,0.2675,0.4313025569940931,1.9177894585003628,0.052173440815808,0.354243204708482,0.0040378868432827475,0.07302146544232835
