eval_label,controller,reason_group,reason,count,fraction_of_all,fraction_of_failures,fraction_of_successes,n_all,n_failures,n_successes
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,active_full,failure_exact_terminal_reason,clearance,35,0.016203703703703703,0.02976190476190476,0.0,2160,1176,984
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,active_full,failure_exact_terminal_reason,clearance_ground+foot_ground_after_ready,34,0.01574074074074074,0.02891156462585034,0.0,2160,1176,984
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,active_full,failure_exact_terminal_reason,clearance_ground+knee_ground,29,0.013425925925925926,0.02465986394557823,0.0,2160,1176,984
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,active_full,failure_exact_terminal_reason,q1_low_limit,9,0.004166666666666667,0.007653061224489796,0.0,2160,1176,984
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,active_full,failure_exact_terminal_reason,speed,6,0.002777777777777778,0.00510204081632653,0.0,2160,1176,984
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,active_full,failure_reason_token,clearance_ground,1126,0.5212962962962963,0.9574829931972789,0.0,2160,1176,984
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,active_full,failure_reason_token,foot_ground_before_ready,966,0.44722222222222224,0.8214285714285714,0.0,2160,1176,984
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,active_full,failure_reason_token,foot_ground_bad_clearance,97,0.04490740740740741,0.0824829931972789,0.0,2160,1176,984
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,active_full,failure_reason_token,clearance,35,0.016203703703703703,0.02976190476190476,0.0,2160,1176,984
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,active_full,failure_reason_token,foot_ground_after_ready,34,0.01574074074074074,0.02891156462585034,0.0,2160,1176,984
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,active_full,failure_reason_token,knee_ground,29,0.013425925925925926,0.02465986394557823,0.0,2160,1176,984
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,active_full,failure_reason_token,q1_low_limit,9,0.004166666666666667,0.007653061224489796,0.0,2160,1176,984
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,active_full,failure_reason_token,speed,6,0.002777777777777778,0.00510204081632653,0.0,2160,1176,984
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,active_full,success_terminal_reason,success,978,0.4527777777777778,0.0,0.9939024390243902,2160,1176,984
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,active_full,success_terminal_reason,success+touchdown_event,6,0.002777777777777778,0.0,0.006097560975609756,2160,1176,984
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,passive_oracle_envelope,failure_exact_terminal_reason,clearance_ground+foot_ground_before_ready,909,0.42083333333333334,0.7762596071733561,0.0,2160,1171,989
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,passive_oracle_envelope,failure_exact_terminal_reason,clearance_ground+foot_ground_bad_clearance,89,0.0412037037037037,0.07600341588385995,0.0,2160,1171,989
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,passive_oracle_envelope,failure_exact_terminal_reason,clearance,87,0.04027777777777778,0.07429547395388557,0.0,2160,1171,989
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,passive_oracle_envelope,failure_exact_terminal_reason,clearance_ground+knee_ground,32,0.014814814814814815,0.027327070879590094,0.0,2160,1171,989
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,passive_oracle_envelope,failure_exact_terminal_reason,clearance_ground+foot_ground_after_ready,23,0.010648148148148148,0.01964133219470538,0.0,2160,1171,989
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,passive_oracle_envelope,failure_exact_terminal_reason,q1_low_limit,22,0.010185185185185186,0.018787361229718188,0.0,2160,1171,989
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,passive_oracle_envelope,failure_exact_terminal_reason,speed,7,0.0032407407407407406,0.005977796754910333,0.0,2160,1171,989
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,passive_oracle_envelope,failure_exact_terminal_reason,q1_low_limit+q3_high_limit,1,0.000462962962962963,0.0008539709649871904,0.0,2160,1171,989
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,passive_oracle_envelope,failure_exact_terminal_reason,q3_high_limit,1,0.000462962962962963,0.0008539709649871904,0.0,2160,1171,989
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,passive_oracle_envelope,failure_reason_token,clearance_ground,1053,0.4875,0.8992314261315115,0.0,2160,1171,989
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,passive_oracle_envelope,failure_reason_token,foot_ground_before_ready,909,0.42083333333333334,0.7762596071733561,0.0,2160,1171,989
