eval_label,seed,episode_index,walk_direction,reset_phase,controller,policy_name,passive_mode,passive_selected_from,curriculum_progress,hip_torque_nm,knee_torque_nm,commanded_step_length_m,commanded_step_height_m,success,valid_for_cmt,terminal_reason,steps,nonzero_torque_steps,negative_sign_steps,positive_sign_steps,action_mask_violations,energy_j,support_knee_energy_j,hip_energy_j,swing_knee_energy_j,signed_com_displacement_m,cmt,support_knee_cmt,hip_cmt,swing_knee_cmt,initial_q1_deg,initial_q2_deg,initial_q3_deg,initial_q4_deg,initial_dq1_rad_s,initial_dq2_rad_s,initial_dq3_rad_s,initial_dq4_rad_s,final_q1_deg,final_q2_deg,final_q3_deg,final_q4_deg
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,20260702,1,1.0,touchdown,active,v22_3_active_bidirectional_4Nm_grid,,,1.0,4.0,0.2,0.3,0.0,True,True,success,6,6,0,0,0,0.2852853328025296,0.0,0.2495721896253567,0.03571314317717289,0.0026670035989571628,4.286839787453547,0.0,3.750196274788628,0.5366435126649189,58.680345398453916,23.64651943546562,56.838609495413614,58.56724411403598,-0.41617978738246686,0.3732166724365158,-0.3415434093881824,0.02045006279514805,49.627140385679496,37.912835440635405,42.25407327409075,37.55406701768931
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,20260702,1,1.0,touchdown,active_full,v22_3_active_full_4Nm_grid,,,1.0,4.0,0.2,0.3,0.0,True,False,success,5,5,0,0,0,0.26822786959244116,0.0,0.2495721896253567,0.01865567996708444,0.00037464814640161825,nan,nan,nan,nan,58.680345398453916,23.64651943546562,56.838609495413614,58.56724411403598,-0.41617978738246686,0.3732166724365158,-0.3415434093881824,0.02045006279514805,51.1028381319889,35.91892907533447,42.659965049679776,38.27651916655649
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,20260702,1,1.0,touchdown,per_step_sign,v22_3_per_step_sign_4Nm_grid,,,1.0,4.0,0.2,0.3,0.0,True,False,success,5,5,0,0,0,0.26822786959244116,0.0,0.2495721896253567,0.01865567996708444,0.00037464814640161825,nan,nan,nan,nan,58.680345398453916,23.64651943546562,56.838609495413614,58.56724411403598,-0.41617978738246686,0.3732166724365158,-0.3415434093881824,0.02045006279514805,51.1028381319889,35.91892907533447,42.659965049679776,38.27651916655649
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,20260702,1,1.0,touchdown,true_action_mask_scratch,v22_3_true_action_mask_scratch_c090_epoch1275,,,1.0,4.0,0.2,0.3,0.0,True,False,success,5,5,5,0,0,0.26822786959244116,0.0,0.2495721896253567,0.01865567996708444,0.00037464814640161825,nan,nan,nan,nan,58.680345398453916,23.64651943546562,56.838609495413614,58.56724411403598,-0.41617978738246686,0.3732166724365158,-0.3415434093881824,0.02045006279514805,51.1028381319889,35.91892907533447,42.659965049679776,38.27651916655649
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,20260702,1,1.0,touchdown,passive_sign_selector,v22_3_passive_positive_4Nm_grid,sign_selector,selector_positive_p0.725,1.0,4.0,0.2,0.3,0.0,True,True,success,8,8,0,0,0,0.005510755398590168,0.0,0.0,0.005510755398590168,0.010146734505068256,0.021765379721418253,0.0,0.0,0.021765379721418253,58.680345398453916,23.64651943546562,56.838609495413614,58.56724411403598,-0.41617978738246686,0.3732166724365158,-0.3415434093881824,0.02045006279514805,47.36939918325158,40.15255916659699,45.56700579474978,45.60700867249657
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,20260702,1,1.0,touchdown,passive_oracle_envelope,v22_3_passive_positive_4Nm_grid,oracle_best_cmt,positive,1.0,4.0,0.2,0.3,0.0,True,True,success,8,8,0,0,0,0.005510755398590168,0.0,0.0,0.005510755398590168,0.010146734505068256,0.021765379721418253,0.0,0.0,0.021765379721418253,58.680345398453916,23.64651943546562,56.838609495413614,58.56724411403598,-0.41617978738246686,0.3732166724365158,-0.3415434093881824,0.02045006279514805,47.36939918325158,40.15255916659699,45.56700579474978,45.60700867249657
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,20260702,2,1.0,mid_cross,active,v22_3_active_bidirectional_4Nm_grid,,,1.0,4.0,0.2,0.3,0.0,False,False,clearance_ground+foot_ground_before_ready,27,27,0,0,0,1.007613665072586,0.06197961859105373,0.7751665241265003,0.17046752235503185,0.1764460674796212,nan,nan,nan,nan,72.8791975562144,25.430086991990727,9.963143636119923,99.69293879609181,-0.7421914594445489,-0.5355265917055565,-0.5357795649724029,0.2856667612214875,57.02528154925229,14.691884841643134,49.20330601760957,13.406528363206974
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,20260702,2,1.0,mid_cross,active_full,v22_3_active_full_4Nm_grid,,,1.0,4.0,0.2,0.3,0.0,False,False,clearance_ground+foot_ground_before_ready,23,23,0,0,0,0.7434211496754259,0.0444490313439541,0.5499778348424768,0.1489942834889951,0.13485455421902257,nan,nan,nan,nan,72.8791975562144,25.430086991990727,9.963143636119923,99.69293879609181,-0.7421914594445489,-0.5355265917055565,-0.5357795649724029,0.2856667612214875,54.06508880302203,29.945177607871624,31.66392284159673,3.522489554637914
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,20260702,2,1.0,mid_cross,per_step_sign,v22_3_per_step_sign_4Nm_grid,,,1.0,4.0,0.2,0.3,0.0,False,False,clearance_ground+foot_ground_before_ready,23,23,0,0,0,0.8674313058449616,0.0846589481142899,0.6380987708854504,0.14467358684522136,0.13116082623834313,nan,nan,nan,nan,72.8791975562144,25.430086991990727,9.963143636119923,99.69293879609181,-0.7421914594445489,-0.5355265917055565,-0.5357795649724029,0.2856667612214875,69.49073334063219,1.6205166081750568,39.90761642880211,3.317185010364465
4DoF_V22_3_3x3_grid_4Nm_legacy_success_true_action_mask_scratch_c090,20260702,2,1.0,mid_cross,true_action_mask_scratch,v22_3_true_action_mask_scratch_c090_epoch1275,,,1.0,4.0,0.2,0.3,0.0,False,False,clearance_ground+foot_ground_before_ready,30,30,25,5,0,0.7542557792361109,0.017986656800277508,0.7192215037154623,0.017047618720370993,0.18188796216752107,nan,nan,nan,nan,72.8791975562144,25.430086991990727,9.963143636119923,99.69293879609181,-0.7421914594445489,-0.5355265917055565,-0.5357795649724029,0.2856667612214875,18.233733372182556,77.15905715107266,41.013318228080976,0.4601009728327835
