seed,episode_index,reset_phase,route,p_positive,p_negative,p_active,success,valid_for_cmt,cmt
20260702,1,touchdown,active,0.5993443131446838,0.2565619945526123,0.14409372210502625,True,True,4.286839787453547
20260702,2,mid_cross,active,0.12466910481452942,9.296645657741465e-06,0.875321626663208,False,False,nan
20260702,3,mid_cross,active,0.00014476405340246856,9.973635251014912e-09,0.9998551607131958,False,False,nan
20260702,4,touchdown,active,0.7942958474159241,0.19752046465873718,0.008183684200048447,True,True,0.42378948443217745
20260702,5,pre_cross,active,4.064792449298693e-07,1.224053969295369e-09,0.9999996423721313,False,False,nan
20260702,6,touchdown,active,0.6904944777488708,0.3064211308956146,0.0030843825079500675,True,True,0.2124375488730722
20260702,7,mid_cross,positive,0.807651162147522,0.006583713926374912,0.1857651323080063,True,True,0.4544770168389121
20260702,8,mid_cross,active,7.874152743170271e-07,1.5017940224737458e-09,0.9999991655349731,False,False,nan
20260702,9,touchdown,positive,0.8817445039749146,0.10314599424600601,0.015109439380466938,True,True,0.10569598742443166
20260702,10,touchdown,active,1.17216195576475e-05,0.020157473161816597,0.979830801486969,False,False,nan
20260702,11,mid_cross,active,0.0005668526864610612,1.0047620691011616e-07,0.9994329810142517,False,False,nan
20260702,12,touchdown,active,0.3760743737220764,0.01776275970041752,0.6061628460884094,False,False,nan
20260702,13,touchdown,active,2.3639514790119165e-09,0.00010008613753598183,0.9998998641967773,False,False,nan
20260702,14,touchdown,active,0.3482709228992462,0.08884567022323608,0.5628833770751953,False,False,nan
20260702,15,touchdown,positive,0.8593400716781616,0.13758346438407898,0.0030764201655983925,True,False,nan
20260702,16,touchdown,positive,0.8607932925224304,0.09643537551164627,0.042771294713020325,True,True,0.056802394579858785
20260702,17,mid_cross,active,7.755610909043753e-07,3.848523277838467e-08,0.9999991655349731,False,False,nan
20260702,18,touchdown,active,0.7810132503509521,0.20286321640014648,0.01612349972128868,True,True,0.13819023632526603
20260702,19,mid_cross,active,0.15727220475673676,0.00015782193804625422,0.8425699472427368,False,False,nan
20260702,20,touchdown,active,0.6746554374694824,0.3087722957134247,0.016572240740060806,True,True,0.03300176716382268
20260702,21,touchdown,active,0.0009104346972890198,0.21784628927707672,0.7812433242797852,False,False,nan
20260702,22,mid_cross,positive,0.8504183888435364,0.005698847118765116,0.14388270676136017,False,False,nan
20260702,23,mid_cross,active,6.90072681663878e-07,1.2393005732747042e-08,0.9999992847442627,False,False,nan
20260702,24,mid_cross,active,3.910660666406329e-07,3.488310440502573e-08,0.9999995231628418,False,False,nan
20260702,25,mid_cross,active,3.2755617667135084e-06,9.050116211994919e-09,0.9999966621398926,False,False,nan
20260702,26,pre_cross,active,8.933251933740394e-07,1.1855251003112244e-08,0.9999990463256836,False,False,nan
