controller,n_cases,n_transitions,mean_legacy_landing_error_abs_m,mean_corrected_accumulated_abs_residual_m,sample_sd_corrected_accumulated_abs_residual_m,pooled_per_transition_mae_m,pooled_per_transition_rmse_m,mean_cmt_unchanged,mean_energy_j_unchanged,mean_com_displacement_m_unchanged
continuous,12,36,0.12985783111187094,0.12285819844588731,0.013104973697147587,0.04095273281529577,0.04316723754514539,0.2381077112551372,6.738869299065919,1.286334999092933
discrete,12,36,0.13994209406745647,0.13278085291176997,0.012482865011899689,0.04426028430392331,0.04561263429000867,0.22662015240511044,6.243008691736688,1.2538010978513259
mpc,12,36,0.06382515890169439,0.06338264021761397,0.0396675673860346,0.03028463968177649,0.03150572163605213,0.19894509876853902,5.757231420343597,1.3167424535725907
passive,12,36,0.077078674104753,0.07155537932336438,0.03951342378507207,0.041389074711562,0.04728899379235459,0.12234630641700867,3.48058829062067,1.2949036039005717
