case_id,controller,success,cmt_unchanged,energy_j_unchanged,com_displacement_m_unchanged,legacy_landing_error_archived_abs_m,legacy_landing_error_recomputed_abs_m,corrected_actual_foot_sum_m,corrected_target_foot_sum_m,corrected_accumulated_signed_residual_m,corrected_accumulated_abs_residual_m,corrected_per_transition_mae_m,corrected_per_transition_rmse_m,max_abs_transition_residual_m
flat_1.145_r1,continuous,True,0.2640318671094211,7.22982825148699,1.2427162616164038,0.12124624785220695,0.12124624785220695,1.3854981804955857,1.5030000000000001,-0.1175018195044144,0.1175018195044144,0.03916727316813806,0.04385545473584553,0.06510477296553951
flat_1.145_r1,discrete,True,0.24260058154419423,6.476689034780791,1.2116063920685889,0.12684528102720005,0.12684528102720005,1.3813042190650235,1.5030000000000001,-0.12169578093497657,0.12169578093497657,0.04056526031165886,0.040964058030441744,0.04626966000919319
flat_1.145_r1,mpc,True,0.19511386157200397,5.344419808660716,1.2431192406621792,0.08279658608741558,0.08279658608741558,1.4186096699332533,1.5030000000000001,-0.08439033006674679,0.08439033006674679,0.02813011002224891,0.02815241382074226,0.02922016391825788
flat_1.145_r1,passive,True,0.10874651379127698,3.03408014734329,1.2662284095940572,0.026814986496168203,0.026814986496168203,1.479220812475064,1.5030000000000001,-0.02377918752493602,0.02377918752493602,0.04755038062772534,0.05408472392920779,0.07144426184135289
flat_1.145_r2,continuous,True,0.2533720497336921,6.877954327354638,1.2319722640607245,0.1301115663914283,0.1301115663914283,1.3771496256495852,1.5030000000000001,-0.1258503743504149,0.1258503743504149,0.04195012478347162,0.04434825492866247,0.06022413281668082
flat_1.145_r2,discrete,True,0.23219516008024402,6.15226598449987,1.2024922554324022,0.15231721676541943,0.15231721676541943,1.3576849992216997,1.5030000000000001,-0.1453150007783004,0.1453150007783004,0.048438333592766745,0.04905417646547278,0.05697126980196693
flat_1.145_r2,mpc,True,0.20264315899801366,5.538987804150482,1.2405058296937774,0.09246794192345953,0.09246794192345953,1.4100561433653485,1.5030000000000001,-0.09294385663465166,0.09294385663465166,0.030981285544883885,0.031089760886327096,0.034352460378970995
flat_1.145_r2,passive,True,0.1185792601677367,3.322559154644984,1.2716404472482674,0.021824064814923272,0.021824064814923272,1.4837446337847755,1.5030000000000001,-0.019255366215224612,0.019255366215224612,0.044085660787390124,0.050736616416736526,0.06669450999549387
flat_1.145_r3,continuous,True,0.22773734251528494,6.071820427979371,1.2099990187503311,0.14917213967289178,0.14917213967289178,1.3596628894414797,1.5030000000000001,-0.1433371105585204,0.1433371105585204,0.04777903685284013,0.04877704446726524,0.05481247990854016
flat_1.145_r3,discrete,True,0.22488253448370082,5.893354406092961,1.189343160147871,0.1520505514401167,0.1520505514401167,1.357022274377718,1.5030000000000001,-0.14597772562228206,0.14597772562228206,0.04865924187409402,0.049789211342391275,0.06290964221204376
flat_1.145_r3,mpc,True,0.22685540044755492,6.559658621959596,1.312297990123183,0.01375862584949572,0.01375862584949572,1.4854056382112657,1.5030000000000001,-0.017594361788734414,0.017594361788734414,0.027496725914280262,0.027725049429727314,0.032447907977053325
flat_1.145_r3,passive,True,0.12143080143077968,3.2177259709112502,1.202598179750182,0.0972730978841081,0.0972730978841081,1.4080361068329308,1.5030000000000001,-0.09496389316706932,0.09496389316706932,0.05603427166188648,0.05770088965088146,0.06617953962065981
flat_1.28_r1,continuous,True,0.24068401421752703,7.325904614168671,1.381383808314149,0.09929070838842424,0.09929070838842424,1.4063255182272068,1.5030000000000001,-0.09667448177279336,0.09667448177279336,0.03222482725759779,0.03696713780794339,0.05644198000300793
flat_1.28_r1,discrete,True,0.2171195951298242,6.386975722348525,1.335047114878377,0.12454114581054054,0.12454114581054054,1.383938468220175,1.5030000000000001,-0.11906153177982515,0.11906153177982515,0.039687177259941676,0.040076643364569675,0.043954695522551046
flat_1.28_r1,mpc,True,0.18714936044447653,5.735431142806764,1.3908428765687255,0.09691597940375485,0.09691597940375485,1.4081032709234165,1.5030000000000001,-0.09489672907658364,0.09489672907658364,0.03163224302552784,0.03257099331706549,0.04221524916939057
flat_1.28_r1,passive,True,0.11319157587430137,3.453770637840483,1.3847766581143843,0.03371478741545153,0.03371478741545153,1.4719894417960744,1.5030000000000001,-0.03101055820392573,0.03101055820392573,0.03467352921613979,0.04423661284056257,0.0675155729261725
flat_1.28_r2,continuous,True,0.23014756046001517,6.883792788550926,1.3574434957310348,0.12666963983323165,0.12666963983323165,1.3802435189160418,1.5030000000000001,-0.12275648108395831,0.12275648108395831,0.040918827027986125,0.04334980239121687,0.06105647087021859
flat_1.28_r2,discrete,True,0.2150008954864457,6.399632924861264,1.3508749332353283,0.12078724422435028,0.12078724422435028,1.3880091512618242,1.5030000000000001,-0.11499084873817589,0.11499084873817589,0.03833028291272526,0.03963321116924749,0.05091028455253299
flat_1.28_r2,mpc,True,0.20191743337940996,6.070728867120262,1.3644806059759502,0.08177916395749363,0.08177916395749363,1.420022378023013,1.5030000000000001,-0.0829776219769871,0.0829776219769871,0.02765920732566231,0.02831131428070225,0.033783778758960104
flat_1.28_r2,passive,True,0.11225498534642357,3.4192043092780655,1.38235555582163,0.035464581676681206,0.035464581676681206,1.469200925503939,1.5030000000000001,-0.03379907449606101,0.03379907449606101,0.044391729279741665,0.04523932390706605,0.05138295798182446
flat_1.28_r3,continuous,True,0.22320854424596995,6.583450540332574,1.3385762335612865,0.14733320291124574,0.14733320291124574,1.361083685778172,1.5030000000000001,-0.14191631422182804,0.14191631422182804,0.04730543807394264,0.04902739360208398,0.0654496558345346
flat_1.28_r3,discrete,True,0.18946016402734994,5.536666432530032,1.3262664942401947,0.13179523596713327,0.13179523596713327,1.3771019014242696,1.5030000000000001,-0.12589809857573053,0.12589809857573053,0.041966032858576786,0.04359320081679069,0.0579430538733402
flat_1.28_r3,mpc,True,0.1770488302673606,5.287376832536475,1.355337796313068,0.1314056310567644,0.1314056310567644,1.3740747630053907,1.5030000000000001,-0.12892523699460945,0.12892523699460945,0.04297507899820311,0.04625633108819481,0.06716268180455987
