endpoint,n_pairs,neither,reference_only,comparison_only,both,reference_rate,comparison_rate,comparison_minus_reference_risk_difference,paired_standard_error,paired_ci95,exact_mcnemar_p_two_sided
success,2160,1132,64,82,882,0.43796296296296294,0.4462962962962963,0.008333333333333333,0.005591128395525698,"[-0.002625076954836254, 0.01929174362150292]",0.15921582224632147
valid_cmt,2160,1645,35,85,395,0.19907407407407407,0.2222222222222222,0.023148148148148147,0.005046988412284567,"[0.013256232629679406, 0.03304006366661689]",5.732969902850976e-06
