case_id,controller,transition_index,source,terminal_theta1_rad,terminal_theta2_rad,target_theta1_rad,target_theta2_rad,corrected_foot_x_m,corrected_target_foot_x_m,landing_residual_actual_minus_target_m,landing_residual_abs_m,legacy_foot_x_recomputed_m,legacy_foot_x_archived_m,legacy_x_recompute_error_m,corrected_foot_y_m
flat_1.145_r1,continuous,1,learned_archived_terminal_state,1.118649712816922,0.5614260239248091,1.0471975511965976,0.5235987755982988,0.4837050160372217,0.501,-0.017294983962778288,0.017294983962778288,0.5050007705762174,0.5050007705762174,0.0,0.06148045627299448
flat_1.145_r1,continuous,2,learned_archived_terminal_state,1.0479459460624376,0.44197433647042567,1.0471975511965976,0.5235987755982988,0.4658979374239036,0.501,-0.03510206257609638,0.03510206257609638,0.4830069341420707,0.4830069341420707,0.0,0.016613859666066433
flat_1.145_r1,continuous,3,learned_archived_terminal_state,1.1322285649405683,0.46259348481825124,1.0471975511965976,0.5235987755982988,0.4358952270344605,0.501,-0.06510477296553951,0.06510477296553951,0.45374604742950514,0.45374604742950514,0.0,0.04124697513566533
flat_1.145_r1,discrete,1,learned_archived_terminal_state,1.0857002614065985,0.4643502414738799,1.0471975511965976,0.5235987755982988,0.4583508046806434,0.501,-0.042649195319356625,0.042649195319356625,0.4762644822264223,0.4762644822264223,0.0,0.03082408300186118
flat_1.145_r1,discrete,2,learned_archived_terminal_state,1.070882009857727,0.4402572131143217,1.0471975511965976,0.5235987755982988,0.4547303399908068,0.501,-0.04626966000919319,0.04626966000919319,0.47177722658947246,0.47177722658947246,0.0,0.02210907644968646
flat_1.145_r1,discrete,3,learned_archived_terminal_state,1.1156109926235294,0.5204243983156448,1.0471975511965976,0.5235987755982988,0.46822307439357325,0.501,-0.032776925606426754,0.032776925606426754,0.4881130101569054,0.4881130101569054,0.0,0.05063199664050716
flat_1.145_r1,passive,1,learned_archived_terminal_state,0.9904413283393583,0.4369622092822649,1.0471975511965976,0.5235987755982988,0.48922909713729695,0.501,-0.011770902862703048,0.011770902862703048,0.5061566594480528,0.5061566594480528,0.0,-0.00011026034073785551
flat_1.145_r1,passive,2,learned_archived_terminal_state,1.1287692850235467,0.4441617469547171,1.0471975511965976,0.5235987755982988,0.4295557381586471,0.501,-0.07144426184135289,0.07144426184135289,0.4467437826792882,0.4467437826792882,0.0,0.03659568054993867
flat_1.145_r1,passive,3,learned_archived_terminal_state,0.9904264747673001,0.6079851796503417,1.0471975511965976,0.5235987755982988,0.5604359771791201,0.501,0.05943597717912008,0.05943597717912008,0.583284571376491,0.583284571376491,0.0,0.04088633226603561
flat_1.145_r2,continuous,1,learned_archived_terminal_state,1.1214796265714053,0.5456708268520087,1.0471975511965976,0.5235987755982988,0.4759313993347821,0.501,-0.025068600665217877,0.025068600665217877,0.496691063981331,0.496691063981331,0.0,0.05813882062101644
flat_1.145_r2,continuous,2,learned_archived_terminal_state,1.0568030214176765,0.43864792185715656,1.0471975511965976,0.5235987755982988,0.46044235913148385,0.501,-0.040557640868516154,0.040557640868516154,0.4774309903777643,0.4774309903777643,0.0,0.01821844538981604
flat_1.145_r2,continuous,3,learned_archived_terminal_state,1.1254318075981797,0.46649974566165414,1.0471975511965976,0.5235987755982988,0.4407758671833192,0.501,-0.06022413281668082,0.06022413281668082,0.4587663792494765,0.4587663792494765,0.0,0.04057416775637174
flat_1.145_r2,discrete,1,learned_archived_terminal_state,1.0868975490710253,0.44831228913134663,1.0471975511965976,0.5235987755982988,0.4508739888191522,0.501,-0.05012601118084781,0.05012601118084781,0.4682117976591754,0.4682117976591754,0.0,0.027715310419306693
flat_1.145_r2,discrete,2,learned_archived_terminal_state,1.0543375219459699,0.44145633736320766,1.0471975511965976,0.5235987755982988,0.4627822802045145,0.501,-0.038217719795485494,0.038217719795485494,0.4798725456669321,0.4798725456669321,0.0,0.018160962354859367
