th1_index,th2_index,push_off_1_rad_s,push_off_2_rad_s,success,energy_J,com_displacement_m,cmt,completed_steps,seed
105,82,1.05,0.8200000000000001,1,7.091499800614679,1.3298016927317349,0.2420201697816624,3,0
105,83,1.05,0.8300000000000001,1,7.098674249146465,1.330369133430736,0.24216168784354478,3,0
105,84,1.05,0.84,1,7.088774769140027,1.329199635855478,0.24203674951003565,3,0
105,85,1.05,0.85,1,7.065622196393171,1.326600031437677,0.24171898176825518,3,0
105,86,1.05,0.86,1,7.030966411101622,1.3227420540906862,0.24123493952647632,3,0
105,87,1.05,0.87,1,6.988590806840234,1.317931328457084,0.2406562685662134,3,0
105,88,1.05,0.88,1,7.015151485598591,1.3217045250033308,0.2408812656913998,3,0
105,89,1.05,0.89,1,7.034950423897792,1.3247405657317588,0.24100749770530477,3,0
105,90,1.05,0.9,1,7.049849394205065,1.3271032888884786,0.24108792633604523,3,0
105,91,1.05,0.91,1,6.989206244825242,1.3192705515312584,0.24043314409354297,3,0
105,92,1.05,0.92,1,6.996774977122593,1.32041192192625,0.2404854566760499,3,0
105,93,1.05,0.93,1,7.000818410947422,1.3210507229004589,0.24050807793685489,3,0
105,94,1.05,0.9400000000000001,1,7.001919858373893,1.3212264611772695,0.24051392200384733,3,0
105,95,1.05,0.9500000000000001,1,7.001361549088941,1.3209746385823111,0.24054059070111375,3,0
105,96,1.05,0.96,1,7.060272140634462,1.329984280885,0.24092134609565843,3,0
105,97,1.05,0.97,1,7.0548735119361,1.3289540637674646,0.24092374745538137,3,0
105,98,1.05,0.98,1,7.048672348464099,1.3275744540692906,0.24096212474218132,3,0
105,99,1.05,0.99,1,7.042152042504229,1.325845686826046,0.2410531244071592,3,0
105,100,1.05,1.0,1,7.036984787351666,1.323786048039104,0.2412510211636528,3,0
105,101,1.05,1.01,1,7.082884637373762,1.331277420544838,0.2414581950410249,3,0
105,102,1.05,1.02,1,7.076750452429902,1.3286263336679862,0.24173045696045262,3,0
105,103,1.05,1.03,1,7.071781543299187,1.3257184352164926,0.24209057860837124,3,0
105,104,1.05,1.04,1,7.112579936718196,1.3325676047968615,0.24223576038359135,3,0
105,105,1.05,1.05,1,7.1088945088287545,1.329137403967348,0.24273507578770645,3,0
105,106,1.05,1.06,1,7.107268411126723,1.325482211545245,0.24334877319995088,3,0
105,107,1.05,1.07,1,7.143999106065329,1.3317537028567579,0.2434545111018907,3,0
105,108,1.05,1.08,1,7.143909737837761,1.3276282358019196,0.24420796577610954,3,0
105,109,1.05,1.09,1,7.180153122710936,1.3336157812880254,0.24434492748728096,3,0
105,110,1.05,1.1,1,7.185070428946722,1.3290470248466084,0.24535280622861402,3,0
105,111,1.05,1.11,0,10000.0,1.6119008729240978,281.5542045534934,2,0
105,112,1.05,1.12,1,7.2274888513630575,1.329746739063946,0.24667142581587082,3,0
105,113,1.05,1.1300000000000001,0,10000.0,1.6122819727488373,281.4876527593136,2,0
105,114,1.05,1.1400000000000001,0,10000.0,1.6098201884901255,281.9181119357727,2,0
105,115,1.05,1.1500000000000001,0,10000.0,1.6069046337575092,282.4296218712084,2,0
105,116,1.05,1.16,0,10000.0,1.609881372231079,281.9073976030098,2,0
105,117,1.05,1.17,0,10000.0,1.6068599733011364,282.4374716129504,2,0
105,118,1.05,1.18,0,10000.0,1.6097077376408997,281.93780615128645,2,0
105,119,1.05,1.19,0,10000.0,1.6065558872579797,282.4909308756272,2,0
106,0,1.06,0.0,0,10000.0,1.1450717954456011,396.33974908849837,2,0
106,1,1.06,0.01,0,10000.0,1.1463055749559032,395.913164875504,2,0
106,2,1.06,0.02,0,10000.0,1.1458519553950097,396.06989887168663,2,0
106,3,1.06,0.03,0,10000.0,1.1451742485122947,396.3042905346587,2,0
106,4,1.06,0.04,0,10000.0,1.1463178826582334,395.9089140638787,2,0
106,5,1.06,0.05,0,10000.0,1.1458713544389982,396.0631936011858,2,0
106,6,1.06,0.06,0,10000.0,1.1451816810141775,396.30171842541665,2,0
106,7,1.06,0.07,0,10000.0,1.1442457323607704,396.6258778688064,2,0
106,8,1.06,0.08,0,10000.0,1.1458131492367494,396.0833128835506,2,0
106,9,1.06,0.09,0,10000.0,1.1450727198461879,396.3394291291716,2,0
106,10,1.06,0.1,0,10000.0,1.1440617613426418,396.68965735085294,2,0
106,11,1.06,0.11,0,10000.0,1.1456608778068758,396.1359568845549,2,0
106,12,1.06,0.12,0,10000.0,1.1448252652480175,396.42509811041384,2,0
106,13,1.06,0.13,0,10000.0,1.146044178749242,396.0034669784986,2,0
106,14,1.06,0.14,0,10000.0,1.1453821396540054,396.2323598238752,2,0
106,15,1.06,0.15,0,10000.0,1.14439624032156,396.573714684438,2,0
106,16,1.06,0.16,0,10000.0,1.145765149685539,396.0999060058546,2,0
106,17,1.06,0.17,0,10000.0,1.144919754897416,396.3923813471883,2,0
106,18,1.06,0.18,0,10000.0,1.1437253651787889,396.8063329821153,2,0
106,19,1.06,0.19,0,10000.0,1.1453023786636272,396.2599541832585,2,0
106,20,1.06,0.2,0,10000.0,1.1442077959463948,396.63902807081365,2,0
106,21,1.06,0.21,0,10000.0,1.1455576769390023,396.1716439349491,2,0
106,22,1.06,0.22,0,10000.0,1.14454298676584,396.5228683787966,2,0
106,23,1.06,0.23,0,10000.0,1.1431012250530488,397.0229916201553,2,0
106,24,1.06,0.24,0,10000.0,1.144749716523537,396.451260519613,2,0
106,25,1.06,0.25,0,10000.0,1.1433210280113077,396.9466641268994,2,0
106,26,1.06,0.26,0,10000.0,1.1448406102986435,396.41978456445366,2,0
106,27,1.06,0.27,0,10000.0,1.143385880340987,396.92414949175327,2,0
106,28,1.06,0.28,0,10000.0,1.144819219949837,396.4271914609469,2,0
106,29,1.06,0.29,0,10000.0,1.143289097381302,396.9577503491797,2,0
106,30,1.06,0.3,0,10000.0,1.1446765257178195,396.47660967855285,2,0
106,31,1.06,0.31,0,10000.0,1.1430095225863028,397.0548443623827,2,0
106,32,1.06,0.32,0,10000.0,1.144397143417113,396.57340173018065,2,0
106,33,1.06,0.33,0,10000.0,1.14253766823398,397.2188232504599,2,0
