pair,both_valid_pairs,both_valid_rate,left_mean,right_mean,left_median,right_median,mean_left_minus_right,mean_left_minus_right_bootstrap95,mean_pairwise_reduction,mean_pairwise_reduction_bootstrap95,fraction_right_lower,fraction_right_lower_wilson95
active_vs_online_selector,419,0.19398148148148148,1.4168741658723614,0.3706641632090417,0.5104168242153854,0.0576743756223506,1.0462100026633199,"[0.8220697914943578, 1.320454843463366]",0.4694348251763008,"[0.3859934582041004, 0.5452473368000668]",0.7971360381861575,"[0.7560126121936142, 0.8328605808335352]"
active_vs_oracle,432,0.2,1.4165066459665072,0.34087319685373874,0.5207275345582875,0.05096081698456315,1.0756334491127686,"[0.8582642830064839, 1.3433068526181504]",0.5605457323250678,"[0.4904329302371938, 0.6243203610028081]",0.8495370370370371,"[0.8127499257487568, 0.8801625861016665]"
