case_id,terrain,nominal_length_m,method,status,cmt,time_s,landing_transition_count,foot_placement_mae_per_transition_m,landing_metric_source,source_record
raised_L1280_r2,raised_0.01m,1.28,Unrestricted discrete PPO,ok,0.22253973480066633,2.96,3,0.0411523026259946,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.28_r2/discrete,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.28_r2/discrete
raised_L1280_r3,raised_0.01m,1.28,Unrestricted discrete PPO,ok,0.21875777955676068,3.24,3,0.04870267559446271,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.28_r3/discrete,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.28_r3/discrete
flat_L1145_r1,flat,1.145,Continuous-torque PPO,ok,0.2640318671094211,3.47,3,0.03916727316813806,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.145_r1/continuous,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.145_r1/continuous
flat_L1145_r2,flat,1.145,Continuous-torque PPO,ok,0.2533720497336921,3.5500000000000003,3,0.04195012478347162,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.145_r2/continuous,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.145_r2/continuous
flat_L1145_r3,flat,1.145,Continuous-torque PPO,ok,0.22773734251528494,3.93,3,0.04777903685284013,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.145_r3/continuous,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.145_r3/continuous
flat_L1280_r1,flat,1.28,Continuous-torque PPO,ok,0.24068401421752703,3.84,3,0.03222482725759779,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.28_r1/continuous,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.28_r1/continuous
flat_L1280_r2,flat,1.28,Continuous-torque PPO,ok,0.23014756046001517,3.5700000000000003,3,0.040918827027986125,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.28_r2/continuous,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.28_r2/continuous
flat_L1280_r3,flat,1.28,Continuous-torque PPO,ok,0.22320854424596995,3.38,3,0.04730543807394264,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.28_r3/continuous,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.28_r3/continuous
raised_L1145_r1,raised_0.01m,1.145,Continuous-torque PPO,ok,0.25817243332390905,3.5,3,0.04129446488918953,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.145_r1/continuous,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.145_r1/continuous
raised_L1145_r2,raised_0.01m,1.145,Continuous-torque PPO,ok,0.24736340282300093,3.3200000000000003,3,0.039513356944825516,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.145_r2/continuous,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.145_r2/continuous
