action_weight,random_seed,archive_group,step_height_m,max_horizontal_advance_m,paper_column,paper_order,minimum_com_displacement_m,status_common_n,strict_displacement_common_n,excluded_by_strict_displacement_n,archive_primary_mask_n,fusion_bad_n,continuous_mean,continuous_median,continuous_sample_sd,continuous_p99,continuous_max,active_mean,active_median,active_sample_sd,active_p99,active_max,proposed_mean,proposed_median,proposed_sample_sd,proposed_p99,proposed_max
0.02,20260716,action_weight_0p02/flat_0p25m,0.0,0.25,0.00 m step; 0.25 m advance,0,0.01,52668,38917,13751,38917,0,0.578183848717019,0.43916935801473667,0.4714316348810738,2.3035843087852754,8.041483288322933,0.7843447658525059,0.4884165121383746,0.8677656500352658,4.406736158035263,13.351409771030264,0.6379721524147017,0.27385910847533246,0.8845427061551681,4.319454172119512,8.562117042132352
0.02,20260716,action_weight_0p02/flat_0p17m,0.0,0.17,0.00 m step; 0.17 m advance,1,0.01,39675,20502,19173,20502,0,0.613736788951555,0.48767789932295835,0.5376920076644393,2.584351149877384,7.209767740361616,0.8226697187588193,0.605707912875773,0.8407149720432846,4.119052519366313,9.698423572387215,0.5557033660200444,0.18782673063346422,0.7875560326406157,3.3885523542678846,6.0912731006796434
0.02,20260716,action_weight_0p02/raised_0p01m_0p25m,0.01,0.25,0.01 m step; 0.25 m advance,2,0.01,50283,36702,13581,36702,0,0.6634826358218662,0.5256489614886105,0.4983559687539199,2.528054970968395,6.258665101132666,0.6989289583694787,0.42645844252461285,0.7452162633298367,3.635980506876593,9.550432435449025,0.5176595002644897,0.36025210948342046,0.5313847087030412,2.88260275440939,6.499493593068609
0.02,20260716,action_weight_0p02/raised_0p01m_0p17m,0.01,0.17,0.01 m step; 0.17 m advance,3,0.01,36607,19776,16831,19776,0,0.63384326782203,0.5009148151119597,0.5271785506289484,2.4858418533847697,7.240171947087464,0.9259579667153948,0.6966189586829669,0.8507965478169754,4.046273765604327,8.995632609823904,0.47562144519636995,0.2377875390702897,0.6722510686293752,2.658587593423082,16.103048178311237
0.04,20260716,action_weight_0p04/flat_0p25m,0.0,0.25,0.00 m step; 0.25 m advance,0,0.01,47241,34266,12975,34266,0,0.5323534073561472,0.393443810891798,0.46899893829244643,2.3535265625500696,7.310819862091996,0.6480469356541492,0.3995225257211814,0.7443159045742558,3.830133902641083,8.962494637727431,0.5426086439281661,0.43236923941250116,0.48741083370220456,2.6802501768352025,8.562117042132352
0.04,20260716,action_weight_0p04/flat_0p17m,0.0,0.17,0.00 m step; 0.17 m advance,1,0.01,35426,16454,18972,16454,0,0.5769057579184828,0.47008222955176315,0.4829491134669447,2.3731753954417822,6.752638690543267,0.6598263898963436,0.47856464815412214,0.6666368276725838,3.270539511745119,8.542291210401844,0.22470313030517106,0.15548004096666618,0.20837944968885952,0.9553531738828283,1.8850336684921214
0.04,20260716,action_weight_0p04/raised_0p01m_0p25m,0.01,0.25,0.01 m step; 0.25 m advance,2,0.01,50175,36893,13282,36893,0,0.6129692787055687,0.5009089098034496,0.43592806196653744,2.2433563095554487,5.688176829591617,0.6281053179493638,0.4122428719458699,0.6477563240800355,3.294528336905925,9.484610075406232,0.6268311188763507,0.4678533530043203,0.6098533649485955,3.4870455017975015,8.39363918649732
0.04,20260716,action_weight_0p04/raised_0p01m_0p17m,0.01,0.17,0.01 m step; 0.17 m advance,3,0.01,27651,10619,17032,10619,0,0.6228219847077093,0.5081034754870866,0.5231665004322151,2.623256507131044,6.965460185934639,0.7649611389418289,0.5749503937802378,0.708098318793428,3.3242073025290453,9.02250568209666,0.5787892216942535,0.26279223341591373,0.733391433769191,3.106517221442833,11.133041896867317
0.06,20260716,action_weight_0p06/flat_0p25m,0.0,0.25,0.00 m step; 0.25 m advance,0,0.01,52308,38625,13683,38625,0,0.5786333016493185,0.43869200288658694,0.4720877660724888,2.306945937962536,8.041483288322933,0.5787124022527682,0.38051503134539855,0.5947963928303744,2.982767438823126,9.246269266329495,0.5853271380930802,0.25530538588708546,0.8373952473461613,4.224461222516803,8.562117042132352
0.06,20260716,action_weight_0p06/flat_0p17m,0.0,0.17,0.00 m step; 0.17 m advance,1,0.01,30680,11170,19510,11170,0,0.8070386647901855,0.6694292265900977,0.7261694265098552,3.8313913207016785,8.10986007289758,0.8217461911777015,0.5722990507259248,0.9812818670581375,5.294670477087534,10.241164152812258,0.5046145154653542,0.16470328515333438,0.7220740151037487,2.965521510617559,7.276891293911119
0.06,20260716,action_weight_0p06/raised_0p01m_0p25m,0.01,0.25,0.01 m step; 0.25 m advance,2,0.01,48284,33957,14327,33957,0,0.7089372158136104,0.5532064310293086,0.5461263185029542,2.8004844138499645,6.709354340405659,0.6373812144690886,0.397222777046196,0.6578379443645808,3.2517971680284883,8.215780788990003,0.4337569112687816,0.32084810303080913,0.3708952055406153,1.8842163489935249,4.3512003437316595
0.06,20260716,action_weight_0p06/raised_0p01m_0p17m,0.01,0.17,0.01 m step; 0.17 m advance,3,0.01,27006,10868,16138,10868,0,0.6096918952278187,0.47685973308445295,0.5359137668107279,2.65276881367344,6.374212889346205,0.7629694615619309,0.5561950668615585,0.7239858990498278,3.3678593528114242,8.647336350244354,0.3147573288514467,0.17425005287572118,0.39687562791615644,1.7865017300274761,14.458134449248606
