walk_direction,commanded_step_length_m,commanded_step_height_m,controller,n,success_count,success_rate,success_wilson_95_low,success_wilson_95_high,valid_count,valid_rate,valid_wilson_95_low,valid_wilson_95_high,self_valid_mean_cmt,self_valid_sample_sd_cmt,self_valid_median_cmt,self_valid_q25_cmt,self_valid_q75_cmt,route_positive_count,route_negative_count,route_active_count,route_hard_mask_count
-1.0,0.4,0.0,proposed_phase_aware_three_expert,600,342,0.57,0.5300647932673496,0.6090445685907323,164,0.2733333333333333,0.23919928040395344,0.3103513573889243,0.5342050474341605,0.9875866856814126,0.1709226164511798,0.06323150026223892,0.6656376907675753,11,252,337,0
-1.0,0.4,0.0,released_two_expert_selector,600,336,0.56,0.5200245001137724,0.5992120957645837,157,0.26166666666666666,0.22809210629110613,0.29827363785875793,0.32523927993443336,0.4678098911580294,0.10569885473224362,0.04940719949234228,0.4101781250935244,114,486,0,0
-1.0,0.4,0.0,true_hard_mask,600,347,0.5783333333333334,0.5384441701242652,0.6172258300502552,162,0.27,0.23602264667772457,0.3069037357885778,1.700439333530503,2.1205504191595095,1.0691460196685516,0.608826345699389,1.7953966060223854,0,0,0,600
-1.0,0.4,0.01,active,600,355,0.5916666666666667,0.55187497385936,0.6302920476214615,149,0.24833333333333332,0.21543706961349934,0.28443165323006336,1.647217439854843,2.4781508337198126,0.6947277437983846,0.2859920373861713,1.9490274869690747,0,0,600,0
-1.0,0.4,0.01,positive_expert,600,268,0.44666666666666666,0.40735189244428327,0.48666002233051153,118,0.19666666666666666,0.16683474102174364,0.23035802425990146,0.3994640945056793,0.5198124495764236,0.21976289487995945,0.08716890803448395,0.4703656253737482,600,0,0,0
-1.0,0.4,0.01,negative_expert,600,300,0.5,0.4601198639241893,0.5398801360758106,135,0.225,0.193397072785709,0.2601018627718264,0.4467380605086081,1.2962273571240992,0.10013412693634714,0.05122027443701639,0.24272690034303168,0,600,0,0
-1.0,0.4,0.01,proposed_phase_aware_three_expert,600,338,0.5633333333333334,0.5233694587482146,0.6024913924567167,147,0.245,0.21228002521890663,0.2809644422980807,0.660903131246153,1.5412649773841567,0.16220352396054744,0.060368152493025226,0.5397561375730401,10,271,319,0
-1.0,0.4,0.01,released_two_expert_selector,600,340,0.5666666666666667,0.5267162215503707,0.6057688849811358,146,0.24333333333333335,0.21070253493146351,0.27922980492223626,0.503098041439081,1.2661509732788134,0.12087068757877215,0.05297103585746146,0.39937395190691294,111,489,0,0
-1.0,0.4,0.01,true_hard_mask,600,349,0.5816666666666667,0.541799114298437,0.6204951412026586,147,0.245,0.21228002521890663,0.2809644422980807,1.6348401178162029,2.2740115471847937,0.9097481211826925,0.4730134648900851,1.89141764871713,0,0,0,600
-1.0,0.4,0.02,active,600,388,0.6466666666666666,0.6075963837060778,0.6838708506632365,186,0.31,0.27430033852750413,0.3481171078577022,1.582406424749419,2.557359247593061,0.7431739905970797,0.29848016558928325,1.586123040391904,0,0,600,0
