controller,n,success_count,success_rate,success_wilson_95_low,success_wilson_95_high,valid_count,valid_rate,valid_wilson_95_low,valid_wilson_95_high,self_valid_mean_cmt,self_valid_sample_sd_cmt,self_valid_median_cmt,self_valid_q25_cmt,self_valid_q75_cmt,route_positive_count,route_negative_count,route_active_count,route_hard_mask_count
active,10800,5229,0.4841666666666667,0.47474881862916685,0.49359577423592205,2652,0.24555555555555555,0.23752942050113213,0.2537626332606488,1.7045000987256749,3.797322206013329,0.6073360484369694,0.18495893117167933,1.6541391137492623,0,0,10800,0
positive_expert,10800,4061,0.37601851851851853,0.36692873842344703,0.3851964653564018,2367,0.21916666666666668,0.2114653284627801,0.2270677134074825,0.16517636484518666,0.44950385664312936,0.04986727090556759,0.02171706450882285,0.13430399001812685,10800,0,0,0
negative_expert,10800,4862,0.4501851851851852,0.4408215854953025,0.45958420960070834,2547,0.23583333333333334,0.22792181567257738,0.24393270739232834,0.7567095980514261,2.285514619401243,0.14527669216236194,0.05747486717474281,0.5702558581308272,0,10800,0,0
proposed_phase_aware_three_expert,10800,5247,0.48583333333333334,0.4764139497781164,0.49526279120643685,2836,0.2625925925925926,0.25437894854949067,0.2709750637668143,0.7666933164724797,2.537978425357301,0.10713251035214517,0.03387267453722488,0.6097391649563351,1401,2608,6791,0
released_two_expert_selector,10800,5083,0.47064814814814815,0.461246633728983,0.48007053550045087,2728,0.2525925925925926,0.24448699448870634,0.26087412911081276,0.46310058338301613,1.9855356173192558,0.056153531332801945,0.02348196356328106,0.2199024538274594,5145,5655,0,0
true_hard_mask,10800,5030,0.46574074074074073,0.4563468674581917,0.47515897675281943,2446,0.22648148148148148,0.21868570646534077,0.23447176326257071,1.5132414410056052,2.291820845198669,0.782439296946402,0.38935117256531393,1.644777536616266,0,0,0,10800
