commanded_step_length_m,commanded_step_height_m,first,second,n,first_success_count,second_success_count,success_difference_pp,second_only_success_count,first_only_success_count,exact_two_sided_mcnemar_p,common_valid_count,common_valid_fraction_of_first_valid,common_valid_fraction_of_second_valid,first_common_mean_cmt,first_common_sample_sd_cmt,second_common_mean_cmt,second_common_sample_sd_cmt,second_minus_first_mean_cmt,ratio_of_means_reduction,second_lower_fraction,cmt_tie_fraction
0.3,0.02,active,true_hard_mask,1200,606,572,-2.833333333333332,34,68,0.000986536808184603,265,0.8333333333333334,0.9201388888888888,1.2094538173013147,2.532774778956232,1.1997116153300638,1.6944981831256465,-0.009742201971250902,0.008055042558788195,0.4490566037735849,0.007547169811320755
0.35,0.0,active,proposed_phase_aware_three_expert,1200,584,590,0.4999999999999949,28,22,0.47988766169832786,282,0.9494949494949495,0.8676923076923077,1.5027699830226064,2.691429289793466,0.6822539028946388,1.3876884313705717,-0.8205160801279678,0.5460024417560012,0.4574468085106383,0.4858156028368794
0.35,0.0,true_hard_mask,proposed_phase_aware_three_expert,1200,569,590,1.749999999999996,50,29,0.02381979285800128,258,0.9381818181818182,0.7938461538461539,1.629335090540732,2.4011601881617506,0.6479306963615674,1.3750673128118485,-0.9814043941791647,0.6023342895373739,0.8217054263565892,0.011627906976744186
0.35,0.0,released_two_expert_selector,proposed_phase_aware_three_expert,1200,571,590,1.583333333333331,32,13,0.006608822842281368,302,0.9710610932475884,0.9292307692307692,0.35453009320619633,0.9982161842074767,0.6103524131131182,1.326966453911942,0.2558223199069219,-0.7215813969228684,0.039735099337748346,0.6192052980132451
0.35,0.0,active,true_hard_mask,1200,584,569,-1.250000000000001,25,40,0.08168153394154003,252,0.8484848484848485,0.9163636363636364,1.4821819323371828,2.736381227565064,1.5484760309851757,2.22672685154586,0.06629409864799327,-0.04472736929363119,0.39285714285714285,0.01984126984126984
0.35,0.01,active,proposed_phase_aware_three_expert,1200,583,595,1.0000000000000009,19,7,0.028959274291992188,279,0.9823943661971831,0.8913738019169329,1.4513967317118457,2.832571928194356,0.7775865286529338,2.3899677010509772,-0.673810203058912,0.4642494972854103,0.44802867383512546,0.4659498207885305
0.35,0.01,true_hard_mask,proposed_phase_aware_three_expert,1200,552,595,3.583333333333333,60,17,8.909847968334875e-07,246,0.9609375,0.7859424920127795,1.3113890661213148,1.7498074291842882,0.65351457323203,2.204650236237646,-0.6578744928892849,0.5016623288122075,0.8333333333333334,0.012195121951219513
0.35,0.01,released_two_expert_selector,proposed_phase_aware_three_expert,1200,581,595,1.1666666666666659,27,13,0.03847730828420026,295,0.9516129032258065,0.9424920127795527,0.382267995466306,1.3373693863243576,0.5300446758451876,1.3442265841435523,0.14777668037888153,-0.38657874091347244,0.09830508474576272,0.6338983050847458
0.35,0.01,active,true_hard_mask,1200,583,552,-2.583333333333332,17,48,0.00015210657584807538,246,0.8661971830985915,0.9609375,1.3222124431022984,2.6804841863039237,1.3615589382870745,1.8065137687988984,0.039346495184776294,-0.029758073591001466,0.35365853658536583,0.02032520325203252
0.35,0.02,active,proposed_phase_aware_three_expert,1200,592,585,-0.5833333333333357,14,21,0.31050465907901537,296,0.961038961038961,0.9135802469135802,1.6127257889375792,3.3933102792414216,0.7385505969660173,2.4967020564875546,-0.874175191971562,0.5420482502158319,0.4594594594594595,0.4831081081081081
0.35,0.02,true_hard_mask,proposed_phase_aware_three_expert,1200,547,585,3.166666666666668,66,28,0.00011112062020663294,254,0.9407407407407408,0.7839506172839507,1.6954217485635523,2.5930199864517816,0.7319173291609974,2.6648908193703047,-0.963504419402555,0.5682977820821781,0.8346456692913385,0.011811023622047244
0.35,0.02,released_two_expert_selector,proposed_phase_aware_three_expert,1200,567,585,1.5000000000000013,34,16,0.015346677832630107,302,0.9587301587301588,0.9320987654320988,0.5238606669959935,2.4255503578263844,0.6723889339635548,2.5070033279685995,0.14852826696756133,-0.2835262815574149,0.12582781456953643,0.6192052980132451
0.35,0.02,active,true_hard_mask,1200,592,547,-3.7500000000000036,16,61,2.4176312825015983e-07,257,0.8344155844155844,0.9518518518518518,1.4507764099197944,3.1505107523417157,1.6620560499208983,2.5693332613180484,0.21127964000110402,-0.14563211709017554,0.3657587548638132,0.01556420233463035
0.4,0.0,active,proposed_phase_aware_three_expert,1200,556,562,0.5000000000000004,24,18,0.44079906734259566,254,0.9584905660377359,0.8355263157894737,1.3735325774376548,1.9766395786695334,0.469960246204266,0.9998432446604775,-0.9035723312333888,0.6578455772188645,0.6850393700787402,0.2874015748031496
0.4,0.0,true_hard_mask,proposed_phase_aware_three_expert,1200,542,562,1.6666666666666663,44,24,0.02052693371370707,249,0.950381679389313,0.819078947368421,1.37433086850805,1.8124001424903637,0.4364005495668065,0.9694947751218842,-0.9379303189412435,0.6824632557074444,0.8473895582329317,0.03614457831325301
0.4,0.0,released_two_expert_selector,proposed_phase_aware_three_expert,1200,554,562,0.6666666666666654,23,15,0.2558750795433298,289,0.9829931972789115,0.9506578947368421,0.28566904713726665,0.9305089745138247,0.373010790722232,0.7123014129570234,0.08734174358496524,-0.3057445126107652,0.05190311418685121,0.7577854671280276
0.4,0.0,active,true_hard_mask,1200,556,542,-1.1666666666666659,19,33,0.07039422106706228,246,0.9283018867924528,0.9389312977099237,1.3457239781917527,1.9443924743729264,1.3288092191911218,1.7397049547470071,-0.016914759000630934,0.01256926329228314,0.3943089430894309,0.052845528455284556
0.4,0.01,active,proposed_phase_aware_three_expert,1200,580,580,0.0,32,32,1.0,243,0.94921875,0.8741007194244604,1.541913739872122,2.6377967031352774,0.6489311484985096,1.8605891163440957,-0.8929825913736127,0.579139136179999,0.6707818930041153,0.25925925925925924
0.4,0.01,true_hard_mask,proposed_phase_aware_three_expert,1200,555,580,2.0833333333333313,60,35,0.013378703026003939,229,0.9423868312757202,0.8237410071942446,1.333925140717463,2.0793001457363767,0.4558413754564588,1.2429950860430248,-0.8780837652610042,0.6582706468735715,0.8733624454148472,0.034934497816593885
0.4,0.01,released_two_expert_selector,proposed_phase_aware_three_expert,1200,574,580,0.5000000000000004,22,16,0.417692190836533,264,0.9635036496350365,0.9496402877697842,0.48413331947215726,1.7176300330969665,0.6159925855918492,1.921719014370163,0.131859266119692,-0.27236147733739124,0.06818181818181818,0.7878787878787878
0.4,0.01,active,true_hard_mask,1200,580,555,-2.0833333333333313,19,44,0.0022275315109880345,230,0.8984375,0.9465020576131687,1.305984053738174,2.202376354645717,1.2793071558431324,1.9612146988518442,-0.026676897895041633,0.020426664336890776,0.3782608695652174,0.04782608695652174
0.4,0.02,active,proposed_phase_aware_three_expert,1200,565,573,0.6666666666666654,24,16,0.26818725105476915,280,0.9523809523809523,0.89171974522293,1.4260973341598906,2.2640016079689893,0.6460687030115372,1.6443173230805481,-0.7800286311483535,0.5469673159496269,0.65,0.275
0.4,0.02,true_hard_mask,proposed_phase_aware_three_expert,1200,547,573,2.166666666666667,53,27,0.004868154149559423,263,0.9494584837545126,0.8375796178343949,1.4030591857371433,1.8904882060226267,0.4300364734053319,0.9161817512169834,-0.9730227123318115,0.6935008317704017,0.8288973384030418,0.053231939163498096
0.4,0.02,released_two_expert_selector,proposed_phase_aware_three_expert,1200,569,573,0.33333333333332993,17,13,0.5846647117286922,298,0.9834983498349835,0.9490445859872612,0.4076277032595122,1.0190179723326727,0.47126799212017373,1.2158565494696765,0.06364028886066155,-0.15612356165141583,0.06375838926174497,0.8322147651006712
0.4,0.02,active,true_hard_mask,1200,565,547,-1.5000000000000013,23,41,0.0327657590988232,265,0.9013605442176871,0.9566787003610109,1.2419784711836117,1.8300545768587897,1.34854960307902,1.7817267175327394,0.10657113189540839,-0.08580755171532517,0.35471698113207545,0.06415094339622641
