seed,first,second,n,first_success_count,second_success_count,success_difference_pp,second_only_success_count,first_only_success_count,exact_two_sided_mcnemar_p,common_valid_count,common_valid_fraction_of_first_valid,common_valid_fraction_of_second_valid,first_common_mean_cmt,first_common_sample_sd_cmt,second_common_mean_cmt,second_common_sample_sd_cmt,second_minus_first_mean_cmt,ratio_of_means_reduction,second_lower_fraction,cmt_tie_fraction
20263101,active,proposed_phase_aware_three_expert,720,364,356,-1.1111111111111072,9,17,0.16863754391670227,178,0.978021978021978,0.9128205128205128,1.2806185034992532,2.629132517160927,0.7011421460666453,2.355841903652025,-0.5794763574326078,0.4524972549195607,0.5224719101123596,0.43820224719101125
20263101,true_hard_mask,proposed_phase_aware_three_expert,720,350,356,0.8333333333333359,28,22,0.47988766169832786,164,0.9534883720930233,0.841025641025641,1.1219688081617467,1.3559575804396176,0.398583927633454,0.7708969901119995,-0.7233848805282926,0.6447459815870453,0.8048780487804879,0.03048780487804878
20263101,released_two_expert_selector,proposed_phase_aware_three_expert,720,350,356,0.8333333333333359,14,8,0.28627872467041016,185,0.9685863874345549,0.9487179487179487,0.4055474870067134,2.125047030909271,0.5660591620783098,2.1537991445858724,0.16051167507159636,-0.39579008676963956,0.07027027027027027,0.6756756756756757
20263101,active,true_hard_mask,720,364,350,-1.944444444444443,16,30,0.054076031858869555,161,0.8846153846153846,0.936046511627907,1.0290111735114347,1.7307501713808142,1.0806904137479076,1.2434549155900796,0.051679240236472954,-0.05022223428354122,0.38509316770186336,0.037267080745341616
20263102,active,proposed_phase_aware_three_expert,720,327,334,0.9722222222222243,19,12,0.28104151505976915,153,0.9503105590062112,0.8547486033519553,1.4803350618095679,2.629006406068633,0.779745770243075,2.081828959645102,-0.7005892915664929,0.47326399923953,0.5686274509803921,0.4117647058823529
20263102,true_hard_mask,proposed_phase_aware_three_expert,720,328,334,0.8333333333333359,26,20,0.4613911821367651,149,0.9254658385093167,0.8324022346368715,1.6456899661968436,2.880962551161766,0.5186967680989601,1.3178903621332814,-1.1269931980978836,0.6848150145208347,0.8389261744966443,0.013422818791946308
20263102,released_two_expert_selector,proposed_phase_aware_three_expert,720,322,334,1.6666666666666663,19,7,0.028959274291992188,164,0.9704142011834319,0.9162011173184358,0.3428868546041942,1.1219051938229803,0.5214772887304367,1.600916901318987,0.17859043412624254,-0.520843630276802,0.09146341463414634,0.6890243902439024
20263102,active,true_hard_mask,720,327,328,0.1388888888888884,22,21,1.0,147,0.9130434782608695,0.9130434782608695,1.3090520177160967,2.2720873770907586,1.5617032923164755,2.6005898295943823,0.25265127460037873,-0.19300323530395658,0.3945578231292517,0.02040816326530612
20263103,active,proposed_phase_aware_three_expert,720,352,348,-0.5555555555555536,9,13,0.5234670639038086,179,0.93717277486911,0.9179487179487179,1.3888688288346995,2.494472262829299,0.629882398628065,1.4745592756614894,-0.7589864302066344,0.5464781226629196,0.5363128491620112,0.37988826815642457
20263103,true_hard_mask,proposed_phase_aware_three_expert,720,335,348,1.8055555555555547,34,21,0.10478948242660333,161,0.9147727272727273,0.8256410256410256,1.1874465495128745,1.1983221896115388,0.47741738705657166,0.9109900996281219,-0.7100291624563029,0.597946208818896,0.8074534161490683,0.012422360248447204
20263103,released_two_expert_selector,proposed_phase_aware_three_expert,720,334,348,1.944444444444443,23,9,0.020061607006937265,182,0.9732620320855615,0.9333333333333333,0.4661346554384524,1.5276679412064824,0.6319601544604553,1.6179473820466432,0.16582549902200303,-0.3557459139484602,0.03296703296703297,0.7307692307692307
20263103,active,true_hard_mask,720,352,335,-2.361111111111108,15,32,0.018623836615006432,163,0.8534031413612565,0.9261363636363636,1.237411031609843,1.8145044998854274,1.205724751237099,1.2502777672664864,-0.03168628037274395,0.02560691602330467,0.4171779141104294,0.018404907975460124
20263104,active,proposed_phase_aware_three_expert,720,379,379,0.0,11,11,1.0,183,0.9631578947368421,0.8798076923076923,1.489875115553005,3.156624925618656,0.8050337152634519,2.328481144528128,-0.6848414002895531,0.45966362760234225,0.4918032786885246,0.48633879781420764
20263104,true_hard_mask,proposed_phase_aware_three_expert,720,363,379,2.2222222222222254,31,15,0.02589608179323477,167,0.9653179190751445,0.8028846153846154,1.0479519286483425,1.2690373757902371,0.537599387303832,1.058135197042881,-0.5103525413445104,0.48699995428489506,0.8323353293413174,0.017964071856287425
20263104,released_two_expert_selector,proposed_phase_aware_three_expert,720,363,379,2.2222222222222254,25,9,0.00904118549078703,191,0.9646464646464646,0.9182692307692307,0.40139480158967095,1.781385030898293,0.5579815273939845,1.8302707884237626,0.1565867258043136,-0.3901065115546405,0.11518324607329843,0.6335078534031413
20263104,active,true_hard_mask,720,379,363,-2.2222222222222254,14,30,0.022628841205914796,163,0.8578947368421053,0.9421965317919075,0.948756737591348,1.537177638473347,0.9850733085961632,1.0715835723656333,0.03631657100481481,-0.03827806387653565,0.31901840490797545,0.024539877300613498
20263105,active,proposed_phase_aware_three_expert,720,338,346,1.1111111111111127,20,12,0.21532714972272515,176,0.9723756906077348,0.8934010152284264,1.1384964617126945,1.3100554113225884,0.6222546039596476,1.0380415558396692,-0.5162418577530468,0.4534417761619036,0.5227272727272727,0.42045454545454547
20263105,true_hard_mask,proposed_phase_aware_three_expert,720,321,346,3.472222222222221,38,13,0.0006210434562277101,157,0.9631901840490797,0.7969543147208121,1.4383976427061118,1.6361627268682084,0.581417808353843,1.0436080402431096,-0.8569798343522688,0.5957878467737199,0.8407643312101911,0.01910828025477707
20263105,released_two_expert_selector,proposed_phase_aware_three_expert,720,339,346,0.9722222222222243,19,12,0.28104151505976915,184,0.968421052631579,0.934010152284264,0.3039894498695243,0.62608030598704,0.5394364351986302,0.981594153121342,0.23544698532910588,-0.7745235416234424,0.059782608695652176,0.6739130434782609
20263105,active,true_hard_mask,720,338,321,-2.361111111111108,12,29,0.011507789735333063,157,0.8674033149171271,0.9631901840490797,1.1905731236692056,1.536851378014962,1.4534989672049237,1.587179922335394,0.262925843535718,-0.2208397269421063,0.3885350318471338,0.01910828025477707
20263106,active,proposed_phase_aware_three_expert,720,346,349,0.4166666666666652,15,12,0.7011080384254456,169,0.9548022598870056,0.9086021505376344,1.8332349434361717,3.6644565695009397,0.7900307040943862,2.1045170278567498,-1.0432042393417857,0.5690510335715226,0.47928994082840237,0.4556213017751479
20263106,true_hard_mask,proposed_phase_aware_three_expert,720,343,349,0.8333333333333359,24,18,0.44079906734259566,159,0.9244186046511628,0.8548387096774194,1.5459048810415184,2.2529662607404983,0.6742429234500873,1.8443380735397175,-0.8716619575914313,0.5638522578466592,0.7358490566037735,0.03773584905660377
