commanded_step_length_m,commanded_step_height_m,controller,n,success_count,success_rate,success_wilson_95_low,success_wilson_95_high,valid_count,valid_rate,valid_wilson_95_low,valid_wilson_95_high,self_valid_mean_cmt,self_valid_sample_sd_cmt,self_valid_median_cmt,self_valid_q25_cmt,self_valid_q75_cmt,route_positive_count,route_negative_count,route_active_count,route_hard_mask_count
0.3,0.0,active,1200,584,0.4866666666666667,0.4584747543965411,0.5149436722861985,308,0.25666666666666665,0.23275690489083312,0.2821293820691645,2.031173278660721,4.897782937777512,0.6514650416254905,0.1819814284244154,1.7883727671804948,0,0,1200,0
0.3,0.0,positive_expert,1200,426,0.355,0.32842802383444564,0.3824973663403474,248,0.20666666666666667,0.18471037115413133,0.23049501586613982,0.08787050812450432,0.13301532033311475,0.045628109930173064,0.02545233131814829,0.08435666381528549,1200,0,0,0
0.3,0.0,negative_expert,1200,552,0.46,0.43197340691974107,0.4882818731284777,296,0.24666666666666667,0.22311089307852666,0.2718392138935257,0.6126401549078555,2.0882612856287635,0.14359768243416604,0.069583656864063,0.45942903767638793,0,1200,0,0
0.3,0.0,proposed_phase_aware_three_expert,1200,580,0.48333333333333334,0.45515769115924815,0.5116153421941763,315,0.2625,0.2383915776628475,0.2881241476234516,1.0010430908160106,2.585065082151954,0.19362731539382783,0.04612140435524789,0.7996694665065951,153,273,774,0
0.3,0.0,released_two_expert_selector,1200,554,0.46166666666666667,0.4336273812437108,0.4899505954691654,298,0.24833333333333332,0.2247173620963486,0.2735554415403613,0.5048485935632976,2.0860166045355624,0.06185113559698197,0.027864136116141577,0.18852689988309365,543,657,0,0
0.3,0.0,true_hard_mask,1200,565,0.4708333333333333,0.44272987520669216,0.49912293316180056,276,0.23,0.20707357928730558,0.25464956103817127,1.451837944810967,2.076514722204982,0.7644848237767282,0.38887692208349245,1.5321976170045524,0,0,0,1200
0.3,0.01,active,1200,579,0.4825,0.4543286211606677,0.5107830638604279,322,0.2683333333333333,0.24403186677222335,0.2941132968403771,1.5718791868822013,3.8007109068269904,0.5007021334188382,0.1456674187974525,1.4929715549421565,0,0,1200,0
0.3,0.01,positive_expert,1200,457,0.38083333333333336,0.3537803967488041,0.40864679172818097,276,0.23,0.20707357928730558,0.25464956103817127,0.10693564027180286,0.1614360156870024,0.05128915249032104,0.024269563676931564,0.10750966943910649,1200,0,0,0
0.3,0.01,negative_expert,1200,548,0.45666666666666667,0.4286664060643683,0.48494348065453535,311,0.25916666666666666,0.23517106916587344,0.2846992627911104,0.5702148449238486,2.108044984259709,0.13040350439986334,0.06179720235300604,0.38466359573593634,0,1200,0,0
0.3,0.01,proposed_phase_aware_three_expert,1200,583,0.48583333333333334,0.45764537112486636,0.5141117072255443,331,0.2758333333333333,0.25129173279642664,0.30180556580713275,0.8015287803151585,2.252410991110026,0.15200082340840818,0.03876276858674017,0.7091280270052204,162,273,765,0
0.3,0.01,released_two_expert_selector,1200,562,0.4683333333333333,0.44024643218672155,0.4966223311847848,323,0.26916666666666667,0.24483807395169896,0.29496843799323025,0.48257064051068105,2.073096442921063,0.05942015407286274,0.027519559539552492,0.23547328742661322,613,587,0,0
0.3,0.01,true_hard_mask,1200,581,0.4841666666666667,0.45598683949450003,0.5124475421912532,299,0.24916666666666668,0.22552077833984951,0.27441337362918916,1.4628829505813987,2.1626463125236537,0.8119518242971246,0.33185398767633556,1.6160698572475334,0,0,0,1200
0.3,0.02,active,1200,606,0.505,0.47674098159673206,0.5332271083972406,318,0.265,0.24080816366690577,0.29069160661637955,2.0434592414967963,5.924430509749629,0.44627275912343733,0.13687389206964143,1.6590662695915852,0,0,1200,0
0.3,0.02,positive_expert,1200,445,0.37083333333333335,0.3439566550044214,0.3985343534846184,253,0.21083333333333334,0.18869574054679752,0.23481638813511754,0.13909050600410344,0.34199172681295154,0.0457054506366374,0.02181422730100874,0.08792495176142852,1200,0,0,0
0.3,0.02,negative_expert,1200,537,0.4475,0.4195786859616125,0.4757563691016745,294,0.245,0.22150491142451276,0.27012249888288203,0.7278730225103666,3.5343563889644223,0.11956615054621791,0.04855594164362255,0.36862210208629764,0,1200,0,0
0.3,0.02,proposed_phase_aware_three_expert,1200,599,0.49916666666666665,0.4709248937846288,0.5274137578830425,332,0.27666666666666667,0.2520989355862645,0.30265971134962366,1.1852560595866195,4.926458548772636,0.1296959233634778,0.03581100477497445,0.7429104306379983,154,265,781,0
0.3,0.02,released_two_expert_selector,1200,551,0.45916666666666667,0.4311465381835304,0.4874473935323595,300,0.25,0.22632431519937957,0.2752711851019878,0.657433487983155,3.5099806367307878,0.049988897725473116,0.023286389947894715,0.2134342941154306,594,606,0,0
0.3,0.02,true_hard_mask,1200,572,0.4766666666666667,0.4485273258020354,0.5049549208927588,288,0.24,0.21668992432728484,0.2649693959861373,1.315115887279488,1.9003811919077023,0.6276330058342505,0.31695025850579633,1.2910314923793056,0,0,0,1200
0.35,0.0,active,1200,584,0.4866666666666667,0.4584747543965411,0.5149436722861985,297,0.2475,0.2239140668732457,0.2726973884311354,1.6768759078745907,2.8280654643090615,0.6619688124129787,0.20510710300821566,1.8242979195457667,0,0,1200,0
0.35,0.0,positive_expert,1200,463,0.3858333333333333,0.35869688871882716,0.4136983897521305,268,0.22333333333333333,0.20067310577268127,0.24775924789416537,0.1737787754384946,0.9582834748703353,0.03823015495832513,0.0196955899684782,0.09225850321569992,1200,0,0,0
0.35,0.0,negative_expert,1200,546,0.455,0.42701338006180495,0.48327380999244113,295,0.24583333333333332,0.22230784112383484,0.2709809175158887,0.6592464627373278,1.4841493111045807,0.14770578332566564,0.053919423137826175,0.5543616640052316,0,1200,0,0
0.35,0.0,proposed_phase_aware_three_expert,1200,590,0.49166666666666664,0.46345269778200987,0.5199338188947022,325,0.2708333333333333,0.24645082368622004,0.2966783849233666,0.6484464530107326,1.3125260271319723,0.12111707603140523,0.036985913551136416,0.7298024711570936,153,266,781,0
0.35,0.0,released_two_expert_selector,1200,571,0.47583333333333333,0.4476988830328101,0.5041220153296553,311,0.25916666666666666,0.23517106916587344,0.2846992627911104,0.43132042076786414,1.4167385311698937,0.04647933028796477,0.022346924624759103,0.1726706262243441,617,583,0,0
0.35,0.0,true_hard_mask,1200,569,0.4741666666666667,0.44604223295524487,0.502455968742563,275,0.22916666666666666,0.20627305659912135,0.25378873539402674,1.687024086336909,2.407678105309858,0.9139455131361193,0.4515081054860982,1.8748926972329163,0,0,0,1200
0.35,0.01,active,1200,583,0.48583333333333334,0.45764537112486636,0.5141117072255443,284,0.23666666666666666,0.2134824325825863,0.26153149440152074,1.5998827467556032,3.4958472647741634,0.6344236326965577,0.13540250247021335,1.664891640320335,0,0,1200,0
