seed,controller,n,success_count,success_rate,success_wilson_95_low,success_wilson_95_high,valid_count,valid_rate,valid_wilson_95_low,valid_wilson_95_high,self_valid_mean_cmt,self_valid_sample_sd_cmt,self_valid_median_cmt,self_valid_q25_cmt,self_valid_q75_cmt,route_positive_count,route_negative_count,route_active_count,route_hard_mask_count
20263101,active,720,364,0.5055555555555555,0.4691035762836335,0.5419485676665539,182,0.25277777777777777,0.22240191013225405,0.28577768408440396,1.3565272644721948,2.719183685104922,0.5147174701851269,0.18291236359712915,1.4944475794496805,0,0,720,0
20263101,positive_expert,720,275,0.3819444444444444,0.3471705641657098,0.4179713768928067,165,0.22916666666666666,0.19995188485341003,0.26125609757495133,0.16340715777259265,0.3705306534085162,0.041137351612890984,0.02009792693682799,0.13053321046856547,720,0,0,0
20263101,negative_expert,720,327,0.45416666666666666,0.41813771565412927,0.4906820967568243,176,0.24444444444444444,0.21446373568214766,0.27713764260922924,0.6901710122863265,2.5281746748728358,0.10615744410220752,0.04742366480174768,0.38729264353091086,0,720,0,0
20263101,proposed_phase_aware_three_expert,720,356,0.49444444444444446,0.4580514323334462,0.5308964237163666,195,0.2708333333333333,0.23965310705713705,0.3044459549976303,0.6696682836898914,2.260299938080011,0.09028106461633481,0.02771925005801161,0.4809288528817681,101,176,443,0
20263101,released_two_expert_selector,720,350,0.4861111111111111,0.4497740686506438,0.5225955714738877,191,0.2652777777777778,0.23433768943766486,0.29870922866691507,0.42502411697536197,2.107986296266768,0.04540550144998067,0.020033002072839513,0.20405405493464113,330,390,0,0
20263101,true_hard_mask,720,350,0.4861111111111111,0.4497740686506438,0.5225955714738877,172,0.2388888888888889,0.20918036830816716,0.2713688660330223,1.2282085625624728,1.6291767605270573,0.7549001885093036,0.37261191973289465,1.4127519249093152,0,0,0,720
20263102,active,720,327,0.45416666666666666,0.41813771565412927,0.4906820967568243,161,0.22361111111111112,0.19468872415000937,0.2554671143281646,1.9084789863464984,4.270745252437446,0.5524294107852568,0.2207797665029337,1.8488544334677317,0,0,720,0
20263102,positive_expert,720,257,0.35694444444444445,0.32279334133326837,0.3926139519494047,151,0.20972222222222223,0.18156498788319705,0.24096049071950823,0.1441425147513785,0.25257149087598335,0.05821757975139996,0.024423954136710124,0.12726477586260787,720,0,0,0
20263102,negative_expert,720,311,0.43194444444444446,0.3962180625607654,0.46839317404943837,163,0.2263888888888889,0.1973193541324262,0.2583625563208415,0.7421362590817823,1.6109201639303972,0.1430428760598762,0.06058881195246106,0.6583788098533309,0,720,0,0
20263102,proposed_phase_aware_three_expert,720,334,0.4638888888888889,0.42775041522839924,0.5004106490953824,179,0.24861111111111112,0.2184308803076465,0.281459605946371,0.7094000019823831,1.9393891047494092,0.0863213910538368,0.04289562350937158,0.4460000367269746,97,160,463,0
20263102,released_two_expert_selector,720,322,0.44722222222222224,0.41127999116227426,0.483724641310945,169,0.23472222222222222,0.20522255255243174,0.26703757382611715,0.3968379465603532,1.3502133493271384,0.05933301310959809,0.026973119338905668,0.15379587994762367,339,381,0,0
20263102,true_hard_mask,720,328,0.45555555555555555,0.4195101107725238,0.49207273762597664,161,0.22361111111111112,0.19468872415000937,0.2554671143281646,1.7441520070994723,2.8623714370787137,0.7374642605611607,0.4292586292332093,1.6151925630440447,0,0,0,720
20263103,active,720,352,0.4888888888888889,0.4525320709116161,0.525363641188009,191,0.2652777777777778,0.23433768943766486,0.29870922866691507,1.734146986337154,4.0432854522959065,0.6252395173575587,0.20243167230407283,1.7717149908897531,0,0,720,0
20263103,positive_expert,720,255,0.3541666666666667,0.320091029901334,0.38979019140624527,154,0.21388888888888888,0.18549685523065376,0.24531773133469206,0.24442736852230296,1.242260037311032,0.045023435463033924,0.021047722099386833,0.14022011786767008,720,0,0,0
20263103,negative_expert,720,319,0.44305555555555554,0.4071687659021464,0.47954675860843216,171,0.2375,0.20786064338964533,0.2699255549639972,0.653163547166931,1.721655349154048,0.13493533508258673,0.06045470376311746,0.4623522951373228,0,720,0,0
20263103,proposed_phase_aware_three_expert,720,348,0.48333333333333334,0.447017185940792,0.5198263822086457,195,0.2708333333333333,0.23965310705713705,0.3044459549976303,0.6587654793990104,1.5891246911134584,0.11832522645812343,0.03381644440002403,0.6055133994970269,92,180,448,0
20263103,released_two_expert_selector,720,334,0.4638888888888889,0.42775041522839924,0.5004106490953824,187,0.25972222222222224,0.2290287557562271,0.29296601839816533,0.5375218013886676,1.855225817728613,0.06873811843041579,0.025760763953431853,0.2852485861064705,340,380,0,0
20263103,true_hard_mask,720,335,0.4652777777777778,0.42912478649097685,0.5017993138203517,176,0.24444444444444444,0.21446373568214766,0.27713764260922924,1.3212174049941872,1.4598028325782249,0.8205851804971382,0.43041736435680605,1.6878864354571594,0,0,0,720
20263104,active,720,379,0.5263888888888889,0.48987460582051695,0.5626230779428735,190,0.2638888888888889,0.23300984308046657,0.29727403903656646,1.6960597394541588,4.29603392540081,0.49088777266098826,0.11742126805499867,1.454113189159611,0,0,720,0
20263104,positive_expert,720,288,0.4,0.36483795556058607,0.43622345333603973,178,0.24722222222222223,0.21710806386035625,0.2800193864061144,0.11060099621618787,0.18961434715979347,0.04565011685901983,0.020885581664855695,0.10098118505875073,720,0,0,0
20263104,negative_expert,720,355,0.4930555555555556,0.4566711724742301,0.5295136475880357,186,0.25833333333333336,0.22770255087413177,0.2915291872927139,0.8726259641304484,2.2405540652321725,0.13004631874117792,0.050342290840719374,0.6116586150867398,0,720,0,0
20263104,proposed_phase_aware_three_expert,720,379,0.5263888888888889,0.48987460582051695,0.5626230779428735,208,0.28888888888888886,0.2569715209417253,0.3230470089511512,0.7273479855542517,2.194821607521184,0.06909746161859365,0.029847705626318853,0.4589664604447756,105,171,444,0
20263104,released_two_expert_selector,720,363,0.5041666666666667,0.4677210797708052,0.5405680281918355,198,0.275,0.2436438494821863,0.3087443205352217,0.3959305556147833,1.751176079761482,0.0472212832640806,0.021657739917937326,0.12228205492307638,346,374,0,0
20263104,true_hard_mask,720,363,0.5041666666666667,0.4677210797708052,0.5405680281918355,173,0.24027777777777778,0.21050054262617912,0.2728117277025572,1.276178896988702,2.57993167523846,0.6619440184579634,0.359284650367719,1.3832746358446073,0,0,0,720
20263105,active,720,338,0.46944444444444444,0.43324958917351764,0.5059636191004514,181,0.2513888888888889,0.22107780581178005,0.2843387524173312,1.2332406550022046,1.5435692147230031,0.6305798424210178,0.24969617002354416,1.6770471014591872,0,0,720,0
20263105,positive_expert,720,283,0.39305555555555555,0.3580367973040296,0.4292094316548619,171,0.2375,0.20786064338964533,0.2699255549639972,0.1896555716279554,0.3066050706542,0.05412926446278812,0.027494502789991777,0.18521353917612804,720,0,0,0
20263105,negative_expert,720,308,0.42777777777777776,0.39211628351909045,0.4642058451284726,168,0.23333333333333334,0.20390419213881325,0.2655928982521888,0.45762813500103,0.8117936645659184,0.12921149419954117,0.05816708085426487,0.4648133438078102,0,720,0,0
20263105,proposed_phase_aware_three_expert,720,346,0.48055555555555557,0.44426142334986973,0.5170560728244743,197,0.27361111111111114,0.2423132077911504,0.30731192623871073,0.5867018340455558,0.9940921490212296,0.12338608200244253,0.03333691601238837,0.7104624722319562,101,164,455,0
20263105,released_two_expert_selector,720,339,0.4708333333333333,0.4346250858563248,0.5073511584051912,190,0.2638888888888889,0.23300984308046657,0.29727403903656646,0.3100224286196346,0.6250147090642559,0.05384428075829245,0.02775977197212493,0.3319779778922759,365,355,0,0
20263105,true_hard_mask,720,321,0.44583333333333336,0.4099092981230546,0.4823322983626179,163,0.2263888888888889,0.1973193541324262,0.2583625563208415,1.5235286870332956,1.7868093187596514,0.7896888429835571,0.4391347589301372,1.7459439162586934,0,0,0,720
20263106,active,720,346,0.48055555555555557,0.44426142334986973,0.5170560728244743,177,0.24583333333333332,0.21578568149936367,0.2785787327795601,1.8696678179096013,3.649501005121806,0.6577456019428425,0.17188641271114072,1.5392273326742187,0,0,720,0
20263106,positive_expert,720,278,0.3861111111111111,0.3512431343198302,0.42218791470132705,161,0.22361111111111112,0.19468872415000937,0.2554671143281646,0.18390575413341909,0.3437050093542737,0.05827936013924966,0.02390414797289073,0.17049638065139716,720,0,0,0
20263106,negative_expert,720,327,0.45416666666666666,0.41813771565412927,0.4906820967568243,167,0.23194444444444445,0.20258629213649237,0.26414776226696274,0.6787222881689353,1.9356630226467624,0.14201431295702815,0.05929250332566105,0.5111835726699105,0,720,0,0
20263106,proposed_phase_aware_three_expert,720,349,0.4847222222222222,0.4483954873187706,0.521211116818214,186,0.25833333333333336,0.22770255087413177,0.2915291872927139,0.7771668845444846,2.0527717092084186,0.12022563428320326,0.030853094198123182,0.6832965981770858,83,182,455,0
20263106,released_two_expert_selector,720,342,0.475,0.4387532613156455,0.511512090908511,182,0.25277777777777777,0.22240191013225405,0.28577768408440396,0.47046846667834963,1.7421040823839975,0.06209418201055508,0.025583522026642064,0.22084510187063383,338,382,0,0
20263106,true_hard_mask,720,343,0.47638888888888886,0.44012988118422236,0.512898507027481,172,0.2388888888888889,0.20918036830816716,0.2713688660330223,1.5496240248289472,2.2050973085793393,0.8941056917464254,0.35233854460010666,1.6076193473354974,0,0,0,720
20263107,active,720,352,0.4888888888888889,0.4525320709116161,0.525363641188009,179,0.24861111111111112,0.2184308803076465,0.281459605946371,2.1924761105312394,5.018564601094179,0.8189217638312116,0.17078007792857947,1.9647321158554092,0,0,720,0
20263107,positive_expert,720,261,0.3625,0.32820176834408105,0.3982576688887794,148,0.20555555555555555,0.1776377633473185,0.23659860729274618,0.16030473230267142,0.3328845040500332,0.04854218367799423,0.019412282589118035,0.12341361721517266,720,0,0,0
20263107,negative_expert,720,340,0.4722222222222222,0.4360008635285382,0.5087384167205246,176,0.24444444444444444,0.21446373568214766,0.27713764260922924,1.1778865438245671,3.233538894686394,0.1965873709597858,0.0735434993109619,0.8792125867442333,0,720,0,0
20263107,proposed_phase_aware_three_expert,720,358,0.49722222222222223,0.46081279087585036,0.533661137149056,191,0.2652777777777778,0.23433768943766486,0.29870922866691507,1.077719942431806,2.920010456358171,0.14513447812759742,0.04178445622237138,0.9990202600513385,86,185,449,0
20263107,released_two_expert_selector,720,349,0.4847222222222222,0.4483954873187706,0.521211116818214,187,0.25972222222222224,0.2290287557562271,0.29296601839816533,0.7193998307827002,2.6911886085416064,0.06653024565615556,0.025848220319920456,0.37106201024590024,336,384,0,0
20263107,true_hard_mask,720,337,0.46805555555555556,0.4318743736197501,0.5045757986666721,159,0.22083333333333333,0.1920600198610661,0.25256974664201404,1.6467619599452032,2.728821874369641,0.7048933633305134,0.341923758101758,1.5871811127123192,0,0,0,720
20263108,active,720,340,0.4722222222222222,0.4360008635285382,0.5087384167205246,159,0.22083333333333333,0.1920600198610661,0.25256974664201404,1.2921631804531912,1.7859751153591232,0.7091703428760759,0.2084943356163389,1.5431689053689697,0,0,720,0
20263108,positive_expert,720,270,0.375,0.34038904676794124,0.410937714352841,136,0.18888888888888888,0.16197744680121445,0.21910249198828785,0.15487744357212913,0.25229371167893855,0.055009572927194425,0.0242678408806456,0.16761625805071412,720,0,0,0
20263108,negative_expert,720,307,0.4263888888888889,0.3907496003723211,0.4628094922876951,147,0.20416666666666666,0.17632973796614762,0.23514359668637017,0.5250137893357749,1.3205747510292845,0.13587961839119952,0.0496473158631257,0.5599604005802821,0,720,0,0
20263108,proposed_phase_aware_three_expert,720,332,0.46111111111111114,0.42500251813794565,0.4976324742107423,165,0.22916666666666666,0.19995188485341003,0.26125609757495133,0.580058427641442,1.0747693517565609,0.11537813356817636,0.036494100123439226,0.7705676558225331,83,176,461,0
20263108,released_two_expert_selector,720,327,0.45416666666666666,0.41813771565412927,0.4906820967568243,160,0.2222222222222222,0.1933741297028752,0.2540186727877518,0.37746660969429985,1.2450216106724272,0.060248158293581,0.028050250638689146,0.2257634366400628,342,378,0,0
20263108,true_hard_mask,720,338,0.46944444444444444,0.43324958917351764,0.5059636191004514,154,0.21388888888888888,0.18549685523065376,0.24531773133469206,1.7881509548043242,3.186943822270871,0.8925397030149786,0.4343127407927292,1.8936302988839415,0,0,0,720
20263109,active,720,366,0.5083333333333333,0.47186940818477596,0.5447088077405052,189,0.2625,0.23168240396742637,0.2958384421620598,1.4977599603289982,3.028920915691696,0.5741126790300809,0.22875420772840258,1.3580013293327449,0,0,720,0
20263109,positive_expert,720,286,0.3972222222222222,0.3621165972274003,0.4334187396941317,171,0.2375,0.20786064338964533,0.2699255549639972,0.17552370475694865,0.3534272452351419,0.04871260051764029,0.01973549899402586,0.14644503422853672,720,0,0,0
20263109,negative_expert,720,341,0.4736111111111111,0.4373769220571266,0.5101253941794831,177,0.24583333333333332,0.21578568149936367,0.2785787327795601,0.854521982444166,2.666881467995345,0.1269821992437684,0.05435059621114825,0.40602467658677693,0,720,0,0
20263109,proposed_phase_aware_three_expert,720,371,0.5152777777777777,0.478788883181786,0.5516045126812293,197,0.27361111111111114,0.2423132077911504,0.30731192623871073,0.7170490611009717,1.787365382803249,0.14083304367963323,0.03388608813417757,0.6203574970266429,91,188,441,0
20263109,released_two_expert_selector,720,364,0.5055555555555555,0.4691035762836335,0.5419485676665539,192,0.26666666666666666,0.23566594100507757,0.3001440130870492,0.4924962906781085,1.758170260490399,0.052858646853189514,0.02141152865277152,0.21978416456123326,351,369,0,0
20263109,true_hard_mask,720,354,0.49166666666666664,0.4552911922594949,0.528130591815224,170,0.2361111111111111,0.20654137056059615,0.2684817918054995,1.355864209431213,1.682452915585988,0.7685615504770194,0.3688906573666183,1.5261992235152895,0,0,0,720
20263110,active,720,338,0.46944444444444444,0.43324958917351764,0.5059636191004514,168,0.23333333333333334,0.20390419213881325,0.2655928982521888,1.6113945400535872,3.393829742724616,0.526810150689269,0.1629658932634912,1.4661053603253724,0,0,720,0
20263110,positive_expert,720,260,0.3611111111111111,0.3268491880871587,0.39684721315815485,143,0.1986111111111111,0.17110298994104672,0.22931820076128362,0.1336956017197961,0.27746721916349465,0.039386295290225484,0.021699508388762716,0.09982600109463519,720,0,0,0
20263110,negative_expert,720,314,0.4361111111111111,0.40032242890952724,0.472577915663317,165,0.22916666666666666,0.19995188485341003,0.26125609757495133,0.8517462399761653,3.078848891860193,0.13382060700947396,0.05435651281765266,0.5821771874413163,0,720,0,0
20263110,proposed_phase_aware_three_expert,720,345,0.4791666666666667,0.44288396230483773,0.5156704978819594,179,0.24861111111111112,0.2184308803076465,0.281459605946371,0.884143441563538,3.0682897087028866,0.1097401792583749,0.031054472702304194,0.5747738330718819,93,166,461,0
20263110,released_two_expert_selector,720,320,0.4444444444444444,0.40853888961566487,0.4809396708824606,170,0.2361111111111111,0.20654137056059615,0.2684817918054995,0.6059375635373346,3.0023496588934346,0.0507258533908249,0.021978078672022214,0.1623072838543212,342,378,0,0
20263110,true_hard_mask,720,319,0.44305555555555554,0.4071687659021464,0.47954675860843216,151,0.20972222222222223,0.18156498788319705,0.24096049071950823,1.568243799514976,2.5205994289831803,0.7068375260378602,0.3752411017100771,1.6284736974925569,0,0,0,720
20263111,active,720,349,0.4847222222222222,0.4483954873187706,0.521211116818214,174,0.24166666666666667,0.2118211636943297,0.27425414262195347,1.7010921160528067,2.7764417274321422,0.6460651283443242,0.1800618987128079,1.8119020802785983,0,0,720,0
20263111,positive_expert,720,275,0.3819444444444444,0.3471705641657098,0.4179713768928067,158,0.21944444444444444,0.19074639787098435,0.25112033264454897,0.17793006664346903,0.40415413554249885,0.04984484396443292,0.022518786591941103,0.1293076269964768,720,0,0,0
20263111,negative_expert,720,330,0.4583333333333333,0.4222557494800357,0.49485317089355846,168,0.23333333333333334,0.20390419213881325,0.2655928982521888,0.6688464712348541,1.223720428497362,0.18999919325277864,0.07063003771974022,0.6895442018621832,0,720,0,0
20263111,proposed_phase_aware_three_expert,720,354,0.49166666666666664,0.4552911922594949,0.528130591815224,189,0.2625,0.23168240396742637,0.2958384421620598,0.6127618139682008,1.5074416603611702,0.11942828092818371,0.03737164891257543,0.5820671529896563,89,177,454,0
20263111,released_two_expert_selector,720,343,0.47638888888888886,0.44012988118422236,0.512898507027481,180,0.25,0.21975412842000425,0.2828993938215601,0.3036936802105396,0.7990719698989804,0.06467786981858986,0.025323342109478026,0.27402754603306806,346,374,0,0
20263111,true_hard_mask,720,330,0.4583333333333333,0.4222557494800357,0.49485317089355846,156,0.21666666666666667,0.18812063069712104,0.2482200278433186,1.689004882183279,2.7722350182109476,0.7776541617727075,0.4367716681042302,1.7691007663675768,0,0,0,720
20263112,active,720,342,0.475,0.4387532613156455,0.511512090908511,167,0.23194444444444445,0.20258629213649237,0.26414776226696274,1.7488248923705834,5.228647750821247,0.8230108866611412,0.19117661536194772,1.5134364746650641,0,0,720,0
20263112,positive_expert,720,270,0.375,0.34038904676794124,0.410937714352841,147,0.20416666666666666,0.17632973796614762,0.23514359668637017,0.2008181086548161,0.5123717270431719,0.055536859332165484,0.023168455603399543,0.12892724951507772,720,0,0,0
20263112,negative_expert,720,318,0.44166666666666665,0.40579892725159217,0.4781535612714396,162,0.225,0.19600380000783735,0.2569150744578835,0.5035529506000397,0.9289387939428418,0.1618145957145338,0.062174526249425245,0.5392478500823832,0,720,0,0
