first,second,n,first_success_count,second_success_count,success_difference_pp,second_only_success_count,first_only_success_count,exact_two_sided_mcnemar_p,common_valid_count,common_valid_fraction_of_first_valid,common_valid_fraction_of_second_valid,first_common_mean_cmt,first_common_sample_sd_cmt,second_common_mean_cmt,second_common_sample_sd_cmt,second_minus_first_mean_cmt,ratio_of_means_reduction,second_lower_fraction,cmt_tie_fraction
active,proposed_phase_aware_three_expert,10800,5229,5247,0.16666666666666496,193,175,0.3755407854902249,2539,0.9573906485671192,0.8952750352609309,1.5227479958654666,3.1736175251308985,0.79543058182879,2.637891711790039,-0.7273174140366768,0.4776347865907383,0.526191413942497,0.42418274911382436
true_hard_mask,proposed_phase_aware_three_expert,10800,5030,5247,2.0092592592592604,487,270,2.686707096147063e-15,2303,0.9415372035977105,0.8120592383638928,1.4106998033709741,2.0466582907521036,0.6144220259560842,1.7611045234845717,-0.79627777741489,0.5644558647503344,0.8085106382978723,0.0182370820668693
released_two_expert_selector,proposed_phase_aware_three_expert,10800,5083,5247,1.518518518518519,289,125,4.69761462530071e-16,2639,0.967375366568915,0.9305359661495064,0.4540829524249196,1.9756817060223728,0.6547044083141518,2.128660796541266,0.2006214558892322,-0.4418167535642157,0.07161803713527852,0.6714664645699129
active,true_hard_mask,10800,5229,5030,-1.8425925925925957,230,429,7.726979045225219e-15,2293,0.8646304675716441,0.937448896156991,1.3120839856660236,2.4530609551473685,1.3895614642406708,1.9860989475073485,0.07747747857464715,-0.0590491762882992,0.3911905800261666,0.02573048408198866
