minimum_signed_displacement_m,n_both_valid,active_mean_cmt,selector_mean_cmt,mean_active_minus_selector_cmt,selector_lower_count,active_lower_count,tie_count,selector_lower_fraction
0.001,419,1.4168741658723614,0.3706641632090417,1.0462100026633196,334,58,27,0.7971360381861575
0.005,313,0.925395121236495,0.2972669279293779,0.6281281933071171,255,42,16,0.8146964856230032
0.01,192,0.9242324868139181,0.3473463573992542,0.5768861294146639,160,23,9,0.8333333333333334
0.02,70,1.0500682472698373,0.3923736635825633,0.657694583687274,64,5,1,0.9142857142857143
