eval_label,seed,episode_index,walk_direction,reset_phase,commanded_step_length_m,commanded_step_height_m,passive_controller,passive_policy_mode,passive_selected_from,active_success,passive_success,active_valid,passive_valid,active_cmt,passive_cmt,active_support_knee_cmt,active_hip_cmt,active_swing_knee_cmt,passive_support_knee_cmt,passive_hip_cmt,passive_swing_knee_cmt,active_energy_j,passive_energy_j,active_support_knee_energy_j,active_hip_energy_j,active_swing_knee_energy_j,passive_support_knee_energy_j,passive_hip_energy_j,passive_swing_knee_energy_j,active_displacement_m,passive_displacement_m,initial_q1_deg,initial_q2_deg,initial_q3_deg,initial_q4_deg,initial_dq1_rad_s,initial_dq2_rad_s,initial_dq3_rad_s,initial_dq4_rad_s,active_terminal_reason,passive_terminal_reason,selector_success,selector_valid,selector_cmt,selector_selected_from,selector_energy_j,selector_displacement_m,selector_terminal_reason,oracle_success,oracle_valid,oracle_cmt,oracle_selected_from,oracle_energy_j,oracle_displacement_m,oracle_terminal_reason,selector_minus_oracle_cmt,selector_over_oracle_cmt,selector_matches_oracle_sign,selector_sign_branch
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260702,1,1.0,touchdown,0.3,0.0,passive_oracle_envelope,oracle_best_cmt,positive,True,True,True,True,4.286839787453547,0.021765379721418253,0.0,3.750196274788628,0.5366435126649189,0.0,0.0,0.021765379721418253,0.2852853328025296,0.005510755398590168,0.0,0.2495721896253567,0.03571314317717289,0.0,0.0,0.005510755398590168,0.0026670035989571628,0.010146734505068256,58.680345398453916,23.64651943546562,56.838609495413614,58.56724411403598,-0.41617978738246686,0.3732166724365158,-0.3415434093881824,0.02045006279514805,success,success,True,True,0.021765379721418253,three_expert_positive_p0.599,0.005510755398590168,0.010146734505068256,success,True,True,0.021765379721418253,positive,0.005510755398590168,0.010146734505068256,success,0.0,1.0,True,positive
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260702,2,1.0,mid_cross,0.3,0.0,passive_oracle_envelope,oracle_best_cmt,positive,False,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,1.007613665072586,0.7627796110179249,0.06197961859105373,0.7751665241265003,0.17046752235503185,0.019534907495017063,0.6584094138278509,0.08483528969505691,0.1764460674796212,0.14501457298139478,72.8791975562144,25.430086991990727,9.963143636119923,99.69293879609181,-0.7421914594445489,-0.5355265917055565,-0.5357795649724029,0.2856667612214875,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,False,False,nan,three_expert_active_p0.875,1.007613665072586,0.1764460674796212,clearance_ground+foot_ground_before_ready,False,False,nan,positive,0.7627796110179249,0.14501457298139478,clearance_ground+foot_ground_before_ready,nan,nan,,
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260702,3,1.0,mid_cross,0.3,0.0,passive_oracle_envelope,oracle_best_cmt,positive,False,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,1.9018896877600848,0.9780974083007604,0.0136232032029339,1.7909147781739143,0.09735170638323652,0.01327591555808723,0.8807468023635805,0.08407469037909263,0.047845087594918415,0.031000498477086455,61.77548911808013,33.626622868443974,-8.95613299293761,79.41234104391279,0.5952694121984281,-0.6502003662311568,-0.9961446299242014,-0.4381593725543135,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,False,False,nan,three_expert_active_p1.000,1.9018896877600848,0.047845087594918415,clearance_ground+foot_ground_before_ready,False,False,nan,positive,0.9780974083007604,0.031000498477086455,clearance_ground+foot_ground_before_ready,nan,nan,,
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260702,4,1.0,touchdown,0.3,0.0,passive_oracle_envelope,oracle_best_cmt,positive,True,True,True,True,0.42378948443217745,0.015128065695130435,0.013957770642741854,0.3856307011033238,0.02420101268611174,0.0,0.0,0.015128065695130435,0.13055450569355792,0.009467581411630045,0.0042998939657240285,0.11879913828032201,0.007455473447511867,0.0,0.0,0.009467581411630045,0.012345909781283276,0.025080550054330825,54.908059785390925,21.313759138702984,61.74329484257774,64.6835834156522,-0.9551598553085852,-0.1054132594870325,-0.871233472203875,0.19543372275914028,success,success,True,True,0.015128065695130435,three_expert_positive_p0.794,0.009467581411630045,0.025080550054330825,success,True,True,0.015128065695130435,positive,0.009467581411630045,0.025080550054330825,success,0.0,1.0,True,positive
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260702,5,1.0,pre_cross,0.3,0.0,passive_oracle_envelope,oracle_best_cmt,positive,False,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,1.6072258380953326,0.9110087563926046,0.03828129660435528,1.5665713333177091,0.00237320817326817,0.0,0.870166347186246,0.04084240920635861,0.02116482360592259,0.016357125994552166,57.94658852696728,56.01083194188467,-28.56325562978115,63.016851333237426,-0.3567012636203519,0.8544797981299785,-0.7106791737699811,0.25566031722938265,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,False,False,nan,three_expert_active_p1.000,1.6072258380953326,0.02116482360592259,clearance_ground+foot_ground_before_ready,False,False,nan,positive,0.9110087563926046,0.016357125994552166,clearance_ground+foot_ground_before_ready,nan,nan,,
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260702,6,1.0,touchdown,0.3,0.0,passive_oracle_envelope,oracle_best_cmt,negative,True,True,True,True,0.2124375488730722,0.03339523316222529,0.014343650528987343,0.19809389834408486,0.0,0.007232080396027795,0.0,0.0261631527661975,0.04480866178388006,0.0031855853116914716,0.003025452838770891,0.04178320894510917,0.0,0.0006898711852270481,0.0,0.0024957141264644236,0.008453024009269255,0.003822840432512492,59.84078924812002,17.501845962940788,50.03885053246253,45.811933964065794,-0.6688456976475936,-0.7101693985657469,0.09956599454175441,-0.3842858040427144,success,success,True,True,0.1387796297959878,three_expert_positive_p0.690,0.028473198591803923,0.008222273960043491,success,True,True,0.03339523316222529,negative,0.0031855853116914716,0.003822840432512492,success,0.1053843966337625,4.155671832618527,False,positive
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260702,7,1.0,mid_cross,0.3,0.0,passive_oracle_envelope,oracle_best_cmt,positive,False,True,False,True,nan,0.4544770168389121,nan,nan,nan,0.0041188529523037715,0.4196631801367474,0.03069498374986095,2.286726913647495,0.946064992639151,0.04617139135160988,1.9673066663156602,0.27324885598022464,0.008574036625892099,0.8735945465152535,0.06389640949800547,0.29389849258332834,0.08342389395579375,57.97530155279033,28.40249509614897,10.47440112955593,95.66176999109317,-0.83887887506476,-0.07251046074681278,0.6248172322740067,-0.09520487866960414,clearance_ground+foot_ground_before_ready,success,True,True,0.4544770168389121,three_expert_positive_p0.808,0.946064992639151,0.08342389395579375,success,True,True,0.4544770168389121,positive,0.946064992639151,0.08342389395579375,success,0.0,1.0,True,positive
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260702,8,1.0,mid_cross,0.3,0.0,passive_oracle_envelope,oracle_best_cmt,positive,False,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,1.2070412971212736,0.4924987755220152,0.010121538389508895,1.185027447169998,0.011892311561766795,0.0,0.43009924308207526,0.06239953243993994,0.013405916046721743,0.00671157774279944,60.448536403729996,61.11083448682826,-5.3740965945260335,85.97901810757776,0.23380332954172056,0.20395858102760056,-0.9905715415240453,-0.4100723215637704,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,False,False,nan,three_expert_active_p1.000,1.2070412971212736,0.013405916046721743,clearance_ground+foot_ground_before_ready,False,False,nan,positive,0.4924987755220152,0.00671157774279944,clearance_ground+foot_ground_before_ready,nan,nan,,
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260702,9,1.0,touchdown,0.3,0.0,passive_oracle_envelope,oracle_best_cmt,negative,True,True,True,True,0.09606320761864166,0.055291037997291445,0.011304014333342103,0.08041671165540018,0.004342481629899389,0.007711862359614127,0.0,0.047579175637677315,0.04780884157067903,0.008317866019052354,0.005625794138801621,0.040021876454830456,0.002161170977046951,0.001160156151667574,0.0,0.007157709867384779,0.01994493141504286,0.006028907046375848,47.71778750380839,37.98538097665226,47.78480175767103,61.25158985027718,-0.40808381073669464,-0.9556718816555063,-0.7299946172610385,-0.49211036810685593,success,success,True,True,0.10569598742443166,three_expert_positive_p0.882,0.027622813376247682,0.01047347545926619,success,True,True,0.055291037997291445,negative,0.008317866019052354,0.006028907046375848,success,0.05040494942714022,1.911629646555187,False,positive
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260702,10,1.0,touchdown,0.3,0.0,passive_oracle_envelope,oracle_best_cmt,positive,False,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,0.29137742570028224,0.013239637520901373,0.0,0.29137742570028224,0.0,0.0,0.0,0.013239637520901373,-0.015028853567296191,-0.0060017275707336115,50.39775126994908,34.652498739783546,56.86643919188664,65.78277986860259,0.1759468048061914,0.42831748134339875,0.9042866304821078,-0.17001766381283379,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,False,False,nan,three_expert_active_p0.980,0.29137742570028224,-0.015028853567296191,clearance_ground+foot_ground_before_ready,False,False,nan,positive,0.013239637520901373,-0.0060017275707336115,clearance_ground+foot_ground_before_ready,nan,nan,,
