eval_label,controller,reason_group,reason,count,fraction_of_all,fraction_of_failures,fraction_of_successes,n_all,n_failures,n_successes
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,per_step_sign,failure_reason_token,foot_ground_bad_clearance,80,0.037037037037037035,0.06796941376380629,0.0,2160,1177,983
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,per_step_sign,failure_reason_token,knee_ground,55,0.02546296296296296,0.04672897196261682,0.0,2160,1177,983
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,per_step_sign,failure_reason_token,clearance,41,0.01898148148148148,0.034834324553950725,0.0,2160,1177,983
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,per_step_sign,failure_reason_token,foot_ground_after_ready,31,0.014351851851851852,0.026338147833474938,0.0,2160,1177,983
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,per_step_sign,failure_reason_token,q1_low_limit,12,0.005555555555555556,0.010195412064570943,0.0,2160,1177,983
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,per_step_sign,failure_reason_token,speed,10,0.004629629629629629,0.008496176720475786,0.0,2160,1177,983
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,per_step_sign,failure_reason_token,q3_low_limit,1,0.000462962962962963,0.0008496176720475786,0.0,2160,1177,983
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,per_step_sign,success_terminal_reason,success,979,0.4532407407407407,0.0,0.9959308240081384,2160,1177,983
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,per_step_sign,success_terminal_reason,success+touchdown_event,4,0.001851851851851852,0.0,0.004069175991861648,2160,1177,983
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,three_expert_selector,failure_exact_terminal_reason,clearance_ground+foot_ground_before_ready,961,0.4449074074074074,0.807563025210084,0.0,2160,1190,970
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,three_expert_selector,failure_exact_terminal_reason,clearance_ground+foot_ground_bad_clearance,96,0.044444444444444446,0.08067226890756303,0.0,2160,1190,970
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,three_expert_selector,failure_exact_terminal_reason,clearance_ground+foot_ground_after_ready,45,0.020833333333333332,0.037815126050420166,0.0,2160,1190,970
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,three_expert_selector,failure_exact_terminal_reason,clearance,37,0.01712962962962963,0.031092436974789917,0.0,2160,1190,970
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,three_expert_selector,failure_exact_terminal_reason,clearance_ground+knee_ground,23,0.010648148148148148,0.019327731092436976,0.0,2160,1190,970
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,three_expert_selector,failure_exact_terminal_reason,q1_low_limit,21,0.009722222222222222,0.01764705882352941,0.0,2160,1190,970
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,three_expert_selector,failure_exact_terminal_reason,speed,6,0.002777777777777778,0.005042016806722689,0.0,2160,1190,970
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,three_expert_selector,failure_exact_terminal_reason,q1_low_limit+q3_high_limit,1,0.000462962962962963,0.0008403361344537816,0.0,2160,1190,970
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,three_expert_selector,failure_reason_token,clearance_ground,1125,0.5208333333333334,0.9453781512605042,0.0,2160,1190,970
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,three_expert_selector,failure_reason_token,foot_ground_before_ready,961,0.4449074074074074,0.807563025210084,0.0,2160,1190,970
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,three_expert_selector,failure_reason_token,foot_ground_bad_clearance,96,0.044444444444444446,0.08067226890756303,0.0,2160,1190,970
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,three_expert_selector,failure_reason_token,foot_ground_after_ready,45,0.020833333333333332,0.037815126050420166,0.0,2160,1190,970
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,three_expert_selector,failure_reason_token,clearance,37,0.01712962962962963,0.031092436974789917,0.0,2160,1190,970
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,three_expert_selector,failure_reason_token,knee_ground,23,0.010648148148148148,0.019327731092436976,0.0,2160,1190,970
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,three_expert_selector,failure_reason_token,q1_low_limit,22,0.010185185185185186,0.018487394957983194,0.0,2160,1190,970
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,three_expert_selector,failure_reason_token,speed,6,0.002777777777777778,0.005042016806722689,0.0,2160,1190,970
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,three_expert_selector,failure_reason_token,q3_high_limit,1,0.000462962962962963,0.0008403361344537816,0.0,2160,1190,970
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,three_expert_selector,success_terminal_reason,success,967,0.4476851851851852,0.0,0.9969072164948454,2160,1190,970
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,three_expert_selector,success_terminal_reason,success+touchdown_event,3,0.001388888888888889,0.0,0.003092783505154639,2160,1190,970
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,true_action_mask_scratch,failure_exact_terminal_reason,clearance_ground+foot_ground_before_ready,988,0.45740740740740743,0.8138385502471169,0.0,2160,1214,946
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,true_action_mask_scratch,failure_exact_terminal_reason,clearance_ground+foot_ground_bad_clearance,94,0.04351851851851852,0.07742998352553541,0.0,2160,1214,946
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,true_action_mask_scratch,failure_exact_terminal_reason,clearance,54,0.025,0.044481054365733116,0.0,2160,1214,946
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,true_action_mask_scratch,failure_exact_terminal_reason,clearance_ground+foot_ground_after_ready,38,0.017592592592592594,0.03130148270181219,0.0,2160,1214,946
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,true_action_mask_scratch,failure_exact_terminal_reason,q1_low_limit,16,0.007407407407407408,0.013179571663920923,0.0,2160,1214,946
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,true_action_mask_scratch,failure_exact_terminal_reason,speed,16,0.007407407407407408,0.013179571663920923,0.0,2160,1214,946
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,true_action_mask_scratch,failure_exact_terminal_reason,clearance_ground+knee_ground,8,0.003703703703703704,0.006589785831960461,0.0,2160,1214,946
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,true_action_mask_scratch,failure_reason_token,clearance_ground,1128,0.5222222222222223,0.929159802306425,0.0,2160,1214,946
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,true_action_mask_scratch,failure_reason_token,foot_ground_before_ready,988,0.45740740740740743,0.8138385502471169,0.0,2160,1214,946
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,true_action_mask_scratch,failure_reason_token,foot_ground_bad_clearance,94,0.04351851851851852,0.07742998352553541,0.0,2160,1214,946
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,true_action_mask_scratch,failure_reason_token,clearance,54,0.025,0.044481054365733116,0.0,2160,1214,946
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,true_action_mask_scratch,failure_reason_token,foot_ground_after_ready,38,0.017592592592592594,0.03130148270181219,0.0,2160,1214,946
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,true_action_mask_scratch,failure_reason_token,q1_low_limit,16,0.007407407407407408,0.013179571663920923,0.0,2160,1214,946
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,true_action_mask_scratch,failure_reason_token,speed,16,0.007407407407407408,0.013179571663920923,0.0,2160,1214,946
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,true_action_mask_scratch,failure_reason_token,knee_ground,8,0.003703703703703704,0.006589785831960461,0.0,2160,1214,946
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,true_action_mask_scratch,success_terminal_reason,success,937,0.4337962962962963,0.0,0.9904862579281184,2160,1214,946
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,true_action_mask_scratch,success_terminal_reason,success+touchdown_event,9,0.004166666666666667,0.0,0.009513742071881607,2160,1214,946
