eval_label,seed,episode_index,walk_direction,reset_phase,commanded_step_length_m,commanded_step_height_m,passive_controller,passive_policy_mode,passive_selected_from,active_success,passive_success,active_valid,passive_valid,active_cmt,passive_cmt,active_support_knee_cmt,active_hip_cmt,active_swing_knee_cmt,passive_support_knee_cmt,passive_hip_cmt,passive_swing_knee_cmt,active_energy_j,passive_energy_j,active_support_knee_energy_j,active_hip_energy_j,active_swing_knee_energy_j,passive_support_knee_energy_j,passive_hip_energy_j,passive_swing_knee_energy_j,active_displacement_m,passive_displacement_m,initial_q1_deg,initial_q2_deg,initial_q3_deg,initial_q4_deg,initial_dq1_rad_s,initial_dq2_rad_s,initial_dq3_rad_s,initial_dq4_rad_s,active_terminal_reason,passive_terminal_reason,active_minus_passive_cmt,min_pair_displacement_m,displacement_balance_ratio,representative_score
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260702,369,-1.0,mid_cross,0.3,0.0,three_expert_selector,three_expert_selector,three_expert_negative_p0.802,True,True,True,True,3.5689690452657916,1.4352995380681801,0.03208024342636906,3.5353642420372857,0.0015245598021365063,0.0,1.4321379493470516,0.0031615887211285496,2.8299191191948725,1.2061404728749523,0.02543717613385645,2.803273083898131,0.001208859162884879,0.0,1.2034836615167668,0.002656811358185613,0.031776982338681134,0.0336772604922054,73.55987245046656,44.070988141192146,-5.210919263952149,81.25278336459868,0.33674500435649923,0.6159409112484511,-0.16945381644761603,-0.3519562471094948,success+touchdown_event,success,2.1336695071976113,0.031776982338681134,0.9435738499583691,2.1528587540201656
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260803,1887,-1.0,mid_cross,0.3,0.02,three_expert_selector,three_expert_selector,three_expert_negative_p0.983,True,True,True,True,2.2379057730529186,0.3322900611907375,0.0,2.202445874028073,0.035459899024845754,0.0,0.26793492230255345,0.06435513888818407,1.9175562257970342,0.28618212979564495,0.0,1.8871723057231933,0.030383920073840963,0.0,0.2307567865147836,0.05542534328086136,0.03433900610008642,0.03451489608731577,63.344966396553986,48.99221782304365,-5.096912074589002,100.417437915738,0.8904530124922327,-0.7015072725853946,-0.6598113189847907,0.2486309938871717,success,success,1.905615711862181,0.03433900610008642,0.9949039398297945,1.9258571807197777
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260803,1993,-1.0,pre_cross,0.35,0.01,three_expert_selector,three_expert_selector,three_expert_negative_p0.961,True,True,True,True,2.56927610378234,1.0641238604489214,0.01643088785692434,2.55079676278543,0.0020484531399852183,0.0,1.0493122305038156,0.014811629945105752,3.4078587643862512,1.5606162311625646,0.021793743812677777,3.383347975497625,0.002717045075948192,0.0,1.538893881949801,0.021722349212763534,0.05315599114283647,0.05877401353637798,75.51719597309275,30.011526185353308,8.43059982115664,87.26359761877983,0.9115646177344654,0.01185672978196095,0.528229757786183,0.3445685518047509,success,success,1.5051522433334186,0.05315599114283647,0.9044131571844375,1.5237720663885357
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260719,1342,-1.0,mid_cross,0.4,0.0,three_expert_selector,three_expert_selector,three_expert_negative_p0.968,True,True,True,True,2.599434476610101,1.207901565792571,0.012015811889696758,2.5201290151527065,0.0672896495676979,0.0,1.1478076180413825,0.06009394775118844,2.219023897957283,1.084685336986442,0.010257374816143791,2.151324282600183,0.057442240540956424,0.0,1.030721482800548,0.053963854185894104,0.03421090123625149,0.03598766222255777,80.53499932212263,41.45692212313859,-21.219301663261376,60.73303424285372,0.8400448733670745,-0.34061067078361096,-0.561071926489056,0.23953721072093714,success,success,1.3915329108175303,0.03421090123625149,0.9506286077901285,1.4108875919856954
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260803,2042,-1.0,mid_cross,0.4,0.0,three_expert_selector,three_expert_selector,three_expert_negative_p0.966,True,True,True,True,1.9120498586720496,0.5408431209097262,0.03246472597989026,1.872686549042464,0.006898583649695424,0.0,0.5228493909440348,0.017993729965691405,1.8413572653147807,0.6107401397946531,0.031264435275261106,1.8034493018563316,0.006643528183188016,0.0,0.5904209516053152,0.020319188189337995,0.03859404131773364,0.045254999502520016,80.94046614796768,41.98744307865546,-21.72671361161766,83.90323989248326,0.5618247032602088,0.9032301831362091,-0.8679312627257547,-0.31844582802080135,success,success,1.3712067377623234,0.03859404131773364,0.8528127663681565,1.388648933502864
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260719,1335,-1.0,mid_cross,0.4,0.0,three_expert_selector,three_expert_selector,three_expert_negative_p0.948,True,True,True,True,2.03438287858187,0.7315814139651635,0.03284541640218831,1.9968917190172362,0.004645743162445647,0.0,0.7196194162412927,0.01196199772387084,1.8945282990557049,0.665810709814253,0.030587443260233854,1.8596144863671493,0.004326369428321761,0.0,0.6549241207849339,0.010886589029319126,0.03732070294338309,0.0364728351395673,83.98102315913187,42.76555572883445,-21.741707266907014,74.67307811385028,0.9778908169722718,-0.37007091255566027,-0.987244565036226,-0.16096106453085857,success,success,1.3028014646167063,0.0364728351395673,0.977281569291392,1.3227118243539298
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260702,538,-1.0,mid_cross,0.35,0.01,three_expert_selector,three_expert_selector,three_expert_negative_p0.696,True,True,True,True,2.533603480001992,1.251325274049888,0.04144054193267106,2.492162938069321,0.0,0.0,1.251325274049888,0.0,3.0155683578538763,1.5534573588296845,0.04932373513490017,2.966244622718976,0.0,0.0,1.5534573588296845,0.0,0.04769929292262708,0.04975199850555642,67.42817973703855,48.63299816742356,5.173724868743135,94.88660108156904,0.4560320073379749,0.8175252077836219,-0.2223340111029266,-0.45872600279406106,success,success,1.2822782059521043,0.04769929292262708,0.9587412436768729,1.301930023754868
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260803,2002,-1.0,mid_cross,0.35,0.02,three_expert_selector,three_expert_selector,three_expert_negative_p0.993,True,True,True,True,1.884488794894489,0.6095254445602092,0.057967900350645356,1.7957916229918698,0.03072927155197399,0.0,0.5711662594976242,0.03835918506258488,1.783503880369381,0.5488871907685077,0.05486154945168039,1.6995597621052188,0.029082568812481887,0.0,0.5143441449989201,0.03454304576958757,0.03792817180673475,0.0360888187013371,68.59333071485071,40.382386320517384,-17.37669741468906,95.40465622146307,0.7514879981368228,-0.03358182934866516,0.5711276797200564,0.02524957683658402,success,success,1.2749633503342799,0.0360888187013371,0.9515043035881038,1.2943543245930553
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260803,1962,-1.0,mid_cross,0.35,0.01,three_expert_selector,three_expert_selector,three_expert_negative_p0.984,True,True,True,True,1.761607589501626,0.6044427425067739,0.014476680960182309,1.71723601626127,0.029894892280173634,0.0,0.5792425632262663,0.025200179280507527,2.1649584468191714,0.7617885162214909,0.017791370174284796,2.1104272260990444,0.03673985054584224,0.0,0.7300283413817735,0.03176017483971734,0.049251765490486224,0.050508057310374666,70.0999379504624,44.48219081434565,-16.361874494251378,96.90426081092937,0.9801574037004905,0.28137696280747515,0.8586232022805997,-0.23751974710549162,success,success,1.1571648469948523,0.049251765490486224,0.9751269027797196,1.1771599027053516
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260803,2008,-1.0,mid_cross,0.35,0.02,three_expert_selector,three_expert_selector,three_expert_negative_p0.994,True,True,True,True,1.5689067851164749,0.42405197487965574,0.0,1.509973547263059,0.05893323785341567,0.0,0.3987583273090359,0.025293647570619852,1.8920529651972198,0.5230973767582215,0.0,1.8209813065830656,0.07107165861415413,0.0,0.4918959168508762,0.03120145990734538,0.04833008499918645,0.04943617517747807,63.50648369501873,52.196931355154625,-15.251295375167638,96.75995458705081,0.9176308741112829,0.12610645761914285,-0.2087669798777998,-0.10195638832232112,success,success,1.144854810236819,0.04833008499918645,0.9776258949176244,1.1648906289851633
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260719,1139,-1.0,mid_cross,0.3,0.01,three_expert_selector,three_expert_selector,three_expert_negative_p0.987,True,True,True,True,1.7524587173889163,0.6611840201063799,0.0,1.7365588704890909,0.015899846899825338,0.0,0.6369477932845532,0.024236226821826735,2.395308162635948,0.8614567377312995,0.0,2.3735758201357156,0.02173234250023217,0.0,0.829879354948383,0.03157738278291644,0.0547765920412981,0.052214669554446744,60.75761555127265,50.60026750222356,3.3541667556731505,100.01479643110612,0.4052452874023098,0.8344550689340557,-0.9561129493573912,0.25075709497690046,success,success,1.0912746972825365,0.052214669554446744,0.9532296115661991,1.110861436209405
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260803,1974,-1.0,mid_cross,0.35,0.01,three_expert_selector,three_expert_selector,three_expert_negative_p0.937,True,True,True,True,1.957336834186337,0.9014969806641946,0.034343603740300675,1.9213444606955572,0.0016487697504795936,0.0,0.8953774248507098,0.006119555813484723,2.056475234500248,1.1073350752652602,0.036083094806100606,2.0186598603541617,0.0017322793399859196,0.0,1.099818246099263,0.007516829165997239,0.04210554812733084,0.04922618625428614,70.1671102371569,42.69570393233129,-14.441625456468106,77.64060660673658,0.6436621911808236,0.8554028800669728,0.22327602172899086,0.13194350668969845,success,success,1.0558398535221425,0.04210554812733084,0.8553485721974795,1.0733678804473654
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260702,453,-1.0,mid_cross,0.3,0.02,three_expert_selector,three_expert_selector,three_expert_negative_p0.961,True,True,True,True,1.7164065951317369,0.6986588062122132,0.018515999493089273,1.6710512443353807,0.026839351303266788,0.0,0.6752694393310051,0.023389366881208136,1.4105060884080534,0.6588301668958337,0.01521605084252099,1.3732340349088454,0.022056002656686856,0.0,0.6367741642391469,0.022056002656686856,0.03293337209474571,0.03779111883367176,73.42864704604456,45.2865384530045,-20.335806442082454,89.78981916753384,0.7942825487224565,0.13370225442311057,-0.21121701232325685,-0.03071086937020029,success,success,1.0177477889195237,0.03293337209474571,0.871457980370832,1.0355062822478878
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260719,1348,-1.0,mid_cross,0.4,0.0,three_expert_selector,three_expert_selector,three_expert_negative_p0.916,True,True,True,True,1.8678520995622798,0.8840274868725572,0.0,1.7845470728505897,0.08330502671169009,0.0,0.8543834242235107,0.029644062649046527,2.112701334499335,1.0371428334916437,0.0,2.018476186188323,0.09422514831101168,0.0,1.0023643593055032,0.03477847418614053,0.04532909331107658,0.04701692398667977,69.53826765581805,50.901460360420046,-12.569308220293715,93.61203917968382,0.7676176382952937,0.19971652265794604,0.5329206889801972,0.2817063583516205,success,success,0.9838246126897227,0.04532909331107658,0.9641016354859505,1.0035599363325525
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260702,115,1.0,mid_cross,0.3,0.02,three_expert_selector,three_expert_selector,three_expert_positive_p0.953,True,True,True,True,2.102217663736758,1.2037742692022981,0.0044455287422351785,2.097772134994523,0.0,0.00349226181655856,1.1949750796856684,0.00530692770007101,1.7946671777760106,1.0495237256113816,0.003795156257686354,1.7908720215183243,0.0,0.003044766553245674,1.0418520562626312,0.0046269027955047224,0.03421272367824954,0.03494045975419002,50.239311326969826,29.652860348208982,9.471336886802856,56.3552193374876,0.3755975863751335,-0.01326511978881384,0.00852767887177519,-0.2468019280546413,success,success,0.8984433945344599,0.03421272367824954,0.9791721093236841,0.9183689639577161
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260702,363,-1.0,mid_cross,0.3,0.0,three_expert_selector,three_expert_selector,three_expert_negative_p0.979,True,True,True,True,1.486781001332114,0.6435327942250353,0.03849705686868939,1.4266185631501873,0.021665381313237485,0.0,0.6155736710280418,0.027959123196993403,1.3000576116071716,0.6048643859477865,0.03366224868475709,1.2474509159195204,0.018944447002894174,0.0,0.5785852622792664,0.026279123668519987,0.035042655241395534,0.03766766865279039,70.97529188091758,39.75247767198624,-23.165491810569204,82.6001192731717,0.43307569801722945,0.7797050185247831,0.2524296870249687,0.39706171409600066,success,success,0.8432482071070788,0.035042655241395534,0.9303112322774348,0.8622048583050415
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260803,1944,-1.0,mid_cross,0.35,0.0,three_expert_selector,three_expert_selector,three_expert_negative_p0.972,True,True,True,True,1.2862074101262921,0.472235980409536,0.0,1.2415674403237378,0.04463996980255425,0.0,0.4543619981979873,0.01787398221154869,1.5244143937332784,0.6524095152483669,0.0,1.4715070539317212,0.05290733980155721,0.0,0.6277160218383951,0.024693493409971724,0.04749779447724896,0.05536593307416701,67.688397653315,53.921375363609236,-21.15182525795518,90.93946144493589,0.9705380498100049,0.4421734843683991,-0.974058276106561,-0.29477333474114975,success,success,0.8139714297167562,0.04749779447724896,0.8578884494481821,0.8316041766504922
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260702,524,-1.0,mid_cross,0.35,0.01,three_expert_selector,three_expert_selector,three_expert_negative_p0.991,True,True,True,True,1.1271846765565168,0.375435680708322,0.01957204244353302,1.091100141324257,0.016512492788726785,0.0,0.35972656846461076,0.015709112243711253,1.8632052888914672,0.6523222244974944,0.03235204820793229,1.8035585439611426,0.027294696722392278,0.0,0.6250275277751022,0.027294696722392278,0.06624407537695327,0.06963186716013896,66.41065526751802,43.502912747442615,-13.67054508135847,92.41148968196458,0.8769589411994996,0.9905088025346365,-0.7752545772518897,-0.3693008558257659,success,success,0.7517489958481948,0.06624407537695327,0.9513471069877466,0.7714383787417193
