eval_label,seed,episode_index,walk_direction,reset_phase,controller,policy_name,passive_mode,passive_selected_from,curriculum_progress,hip_torque_nm,knee_torque_nm,commanded_step_length_m,commanded_step_height_m,success,valid_for_cmt,terminal_reason,steps,nonzero_torque_steps,negative_sign_steps,positive_sign_steps,action_mask_violations,energy_j,support_knee_energy_j,hip_energy_j,swing_knee_energy_j,signed_com_displacement_m,cmt,support_knee_cmt,hip_cmt,swing_knee_cmt,initial_q1_deg,initial_q2_deg,initial_q3_deg,initial_q4_deg,initial_dq1_rad_s,initial_dq2_rad_s,initial_dq3_rad_s,initial_dq4_rad_s,final_q1_deg,final_q2_deg,final_q3_deg,final_q4_deg
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260803,1717,1.0,mid_cross,per_step_sign,v22_3_per_step_sign_4Nm_grid,,,1.0,4.0,0.2,0.4,0.0,True,True,success,14,14,0,0,0,1.5419324018643183,0.012645544323412677,1.4942582062686776,0.03502865127222817,0.053331040132210766,1.1586884857522142,0.009502522020998985,1.1228636068941145,0.026322356837100755,52.933579382534916,31.05499673888785,9.528639974535528,87.34117558989774,0.30094592168210577,-0.5014245693628436,0.7387811960781929,0.40114322408451,45.88028564994342,38.719710942585756,46.017425740111946,34.60508945267735
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260702,538,-1.0,mid_cross,per_step_sign,v22_3_per_step_sign_4Nm_grid,,,1.0,4.0,0.2,0.35,0.01,True,True,success,13,13,0,0,0,3.53349703226718,0.025875101929231065,3.484790132362458,0.022831797975491213,0.05167296141891889,2.740455721209305,0.020067816803382977,2.7026803668542962,0.01770753755162594,67.42817973703855,48.63299816742356,5.173724868743135,94.88660108156904,0.4560320073379749,0.8175252077836219,-0.2223340111029266,-0.45872600279406106,46.429600091837095,96.87613958871928,-64.8302238262002,67.63820344493716
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260719,890,1.0,mid_cross,per_step_sign,v22_3_per_step_sign_4Nm_grid,,,1.0,4.0,0.2,0.35,0.01,True,True,success,14,14,0,0,0,1.399362348342863,0.050298222298504815,1.2624856219816567,0.08657850406270147,0.0506942841823354,1.106248258205653,0.03976262536608464,0.9980420882273849,0.06844354461218345,57.314614226636806,23.517859157196234,13.305762528718938,87.73484306213957,-0.20986186097331316,0.5524482534226267,0.033988438137410926,0.4971435529426158,62.37247881859753,9.27232629208187,54.88037814714057,42.68276186221269
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260719,1139,-1.0,mid_cross,per_step_sign,v22_3_per_step_sign_4Nm_grid,,,1.0,4.0,0.2,0.3,0.01,True,True,success,12,12,0,0,0,1.3466306161126713,0.032705682878059555,1.2185068376292936,0.09541809560531817,0.0492084528465125,1.0967059101812227,0.026635749462181876,0.9923609595940355,0.0777092011250053,60.75761555127265,50.60026750222356,3.3541667556731505,100.01479643110612,0.4052452874023098,0.8344550689340557,-0.9561129493573912,0.25075709497690046,41.41455731958108,92.03771890759387,-58.32225464169502,57.967390309587195
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260803,1993,-1.0,pre_cross,per_step_sign,v22_3_per_step_sign_4Nm_grid,,,1.0,4.0,0.2,0.35,0.01,True,True,success,12,12,0,0,0,3.153588414431269,0.0405281276959695,3.096221503400067,0.016838783335232414,0.04886712214070313,2.5862449664908063,0.03323695184043243,2.5391985972757767,0.013809417374596724,75.51719597309275,30.011526185353308,8.43059982115664,87.26359761877983,0.9115646177344654,0.01185672978196095,0.528229757786183,0.3445685518047509,50.751527709014375,83.86116250344801,-59.2182815518904,56.33260203719121
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260803,1962,-1.0,mid_cross,per_step_sign,v22_3_per_step_sign_4Nm_grid,,,1.0,4.0,0.2,0.35,0.01,True,True,success,12,12,0,0,0,1.1624114804936134,0.015764651179013746,1.0494799309531553,0.09716689836144449,0.04881031304132165,0.9543984121482763,0.012943573171638884,0.8616759181162243,0.07977892086041306,70.0999379504624,44.48219081434565,-16.361874494251378,96.90426081092937,0.9801574037004905,0.28137696280747515,0.8586232022805997,-0.23751974710549162,53.70200885835823,87.2330870407629,-68.40599004196028,54.19194126009831
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260803,2008,-1.0,mid_cross,per_step_sign,v22_3_per_step_sign_4Nm_grid,,,1.0,4.0,0.2,0.35,0.02,True,True,success,12,12,0,0,0,1.1810252503564596,0.02963841404496443,1.0689361494713188,0.08245068684017653,0.0480108007459733,0.9858291236327632,0.02473987049387259,0.8922657556514002,0.0688234974874905,63.50648369501873,52.196931355154625,-15.251295375167638,96.75995458705081,0.9176308741112829,0.12610645761914285,-0.2087669798777998,-0.10195638832232112,48.25803314428492,90.03082516063246,-67.68357619447053,55.32733856844924
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260803,1944,-1.0,mid_cross,per_step_sign,v22_3_per_step_sign_4Nm_grid,,,1.0,4.0,0.2,0.35,0.0,True,True,success,10,10,0,0,0,0.8884455933117683,0.01210022285258958,0.8017633876994255,0.07458198275975325,0.04704647145867279,0.7568070894887841,0.010307366605419676,0.6829683443435595,0.06353137853980492,67.688397653315,53.921375363609236,-21.15182525795518,90.93946144493589,0.9705380498100049,0.4421734843683991,-0.974058276106561,-0.29477333474114975,59.84563968118372,81.02018518817957,-60.87678519871527,58.66682027593927
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260803,1974,-1.0,mid_cross,per_step_sign,v22_3_per_step_sign_4Nm_grid,,,1.0,4.0,0.2,0.35,0.01,True,True,success,11,11,0,0,0,2.2057192781430404,0.047285421377341,2.1584338567656993,0.0,0.04608804303509774,1.9179769418574508,0.041116904035089115,1.8768600378223617,0.0,70.1671102371569,42.69570393233129,-14.441625456468106,77.64060660673658,0.6436621911808236,0.8554028800669728,0.22327602172899086,0.13194350668969845,54.211320307953414,83.8107541464655,-61.008236460127826,58.07922590607694
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260803,1960,-1.0,mid_cross,per_step_sign,v22_3_per_step_sign_4Nm_grid,,,1.0,4.0,0.2,0.35,0.0,True,True,success,13,13,0,0,0,0.8483121940310374,0.040028159168772295,0.7435997892685527,0.06468424559371239,0.04599738837110592,0.7391012660141634,0.03487497094350811,0.6478694394862656,0.05635685558438963,63.1076902466156,48.04789849561324,-24.8855865803769,84.47359646499173,0.9696341990206279,-0.045867016887914724,-0.637694380490184,-0.49873625281121536,50.48801967395872,83.54503819885561,-59.94985804681314,48.5126490994245
