eval_label,controller,category,value,count,fraction_of_successes,fraction_of_all,n_successes,n_all
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active_full,commanded_step_height_m,0.020,331,0.3363821138211382,0.15324074074074073,984,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active_full,commanded_step_height_m,0.010,318,0.3231707317073171,0.14722222222222223,984,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active_full,command_pair,L0.300_H0.020,117,0.11890243902439024,0.05416666666666667,984,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active_full,command_pair,L0.300_H0.000,115,0.11686991869918699,0.05324074074074074,984,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active_full,command_pair,L0.350_H0.000,113,0.11483739837398374,0.052314814814814814,984,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active_full,command_pair,L0.350_H0.010,113,0.11483739837398374,0.052314814814814814,984,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active_full,command_pair,L0.400_H0.020,109,0.11077235772357724,0.050462962962962966,984,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active_full,command_pair,L0.400_H0.000,107,0.10873983739837398,0.04953703703703704,984,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active_full,command_pair,L0.350_H0.020,105,0.10670731707317073,0.04861111111111111,984,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active_full,command_pair,L0.400_H0.010,103,0.10467479674796748,0.047685185185185185,984,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active_full,command_pair,L0.300_H0.010,102,0.10365853658536585,0.04722222222222222,984,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active_full,valid_for_cmt,False,510,0.5182926829268293,0.2361111111111111,984,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active_full,valid_for_cmt,True,474,0.4817073170731707,0.21944444444444444,984,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active_full,terminal_reason,success,978,0.9939024390243902,0.4527777777777778,984,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active_full,terminal_reason,success+touchdown_event,6,0.006097560975609756,0.002777777777777778,984,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active_full,passive_selected_from,none,984,1.0,0.45555555555555555,984,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,reset_phase,touchdown,914,0.9241658240647118,0.42314814814814816,989,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,reset_phase,mid_cross,72,0.07280080889787664,0.03333333333333333,989,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,reset_phase,pre_cross,3,0.003033367037411527,0.001388888888888889,989,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,walk_direction,backward,615,0.621840242669363,0.2847222222222222,989,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,walk_direction,forward,374,0.378159757330637,0.17314814814814813,989,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,commanded_step_length_m,0.300,338,0.3417593528816987,0.15648148148148147,989,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,commanded_step_length_m,0.350,330,0.33367037411526795,0.1527777777777778,989,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,commanded_step_length_m,0.400,321,0.32457027300303337,0.1486111111111111,989,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,commanded_step_height_m,0.000,337,0.34074823053589487,0.15601851851851853,989,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,commanded_step_height_m,0.020,334,0.33771486349848334,0.15462962962962962,989,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,commanded_step_height_m,0.010,318,0.32153690596562184,0.14722222222222223,989,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,command_pair,L0.300_H0.000,117,0.11830131445904954,0.05416666666666667,989,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,command_pair,L0.300_H0.020,116,0.1172901921132457,0.053703703703703705,989,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,command_pair,L0.350_H0.000,111,0.1122345803842265,0.05138888888888889,989,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,command_pair,L0.350_H0.010,110,0.11122345803842265,0.05092592592592592,989,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,command_pair,L0.350_H0.020,109,0.1102123356926188,0.050462962962962966,989,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,command_pair,L0.400_H0.000,109,0.1102123356926188,0.050462962962962966,989,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,command_pair,L0.400_H0.020,109,0.1102123356926188,0.050462962962962966,989,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,command_pair,L0.300_H0.010,105,0.10616784630940344,0.04861111111111111,989,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,command_pair,L0.400_H0.010,103,0.10414560161779575,0.047685185185185185,989,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,valid_for_cmt,True,508,0.5136501516683518,0.2351851851851852,989,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,valid_for_cmt,False,481,0.4863498483316481,0.22268518518518518,989,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,terminal_reason,success,987,0.9979777553083923,0.45694444444444443,989,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,terminal_reason,success+touchdown_event,2,0.0020222446916076846,0.000925925925925926,989,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,passive_selected_from,negative,502,0.5075834175935288,0.2324074074074074,989,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,passive_selected_from,positive,487,0.4924165824064712,0.22546296296296298,989,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,reset_phase,touchdown,889,0.9221991701244814,0.4115740740740741,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,reset_phase,mid_cross,72,0.07468879668049792,0.03333333333333333,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,reset_phase,pre_cross,3,0.0031120331950207467,0.001388888888888889,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,walk_direction,backward,606,0.6286307053941909,0.28055555555555556,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,walk_direction,forward,358,0.37136929460580914,0.16574074074074074,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,commanded_step_length_m,0.300,329,0.3412863070539419,0.15231481481481482,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,commanded_step_length_m,0.350,322,0.33402489626556015,0.14907407407407408,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,commanded_step_length_m,0.400,313,0.32468879668049794,0.1449074074074074,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,commanded_step_height_m,0.000,330,0.34232365145228216,0.1527777777777778,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,commanded_step_height_m,0.020,324,0.3360995850622407,0.15,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,commanded_step_height_m,0.010,310,0.3215767634854772,0.14351851851851852,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,command_pair,L0.300_H0.000,114,0.11825726141078838,0.05277777777777778,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,command_pair,L0.300_H0.020,114,0.11825726141078838,0.05277777777777778,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,command_pair,L0.350_H0.000,110,0.11410788381742738,0.05092592592592592,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,command_pair,L0.350_H0.010,108,0.11203319502074689,0.05,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,command_pair,L0.400_H0.000,106,0.10995850622406639,0.049074074074074076,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,command_pair,L0.400_H0.020,106,0.10995850622406639,0.049074074074074076,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,command_pair,L0.350_H0.020,104,0.1078838174273859,0.04814814814814815,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,command_pair,L0.300_H0.010,101,0.10477178423236515,0.04675925925925926,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,command_pair,L0.400_H0.010,101,0.10477178423236515,0.04675925925925926,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,valid_for_cmt,False,484,0.5020746887966805,0.22407407407407406,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,valid_for_cmt,True,480,0.4979253112033195,0.2222222222222222,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,terminal_reason,success,961,0.9968879668049793,0.4449074074074074,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,terminal_reason,success+touchdown_event,3,0.0031120331950207467,0.001388888888888889,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p1.000,34,0.035269709543568464,0.01574074074074074,964,2160
