eval_label,seed,episode_index,walk_direction,reset_phase,commanded_step_length_m,commanded_step_height_m,reference_controller,comparison_controller,reference_policy_name,comparison_policy_name,reference_success,comparison_success,reference_valid,comparison_valid,reference_cmt,comparison_cmt,reference_support_knee_cmt,reference_hip_cmt,reference_swing_knee_cmt,comparison_support_knee_cmt,comparison_hip_cmt,comparison_swing_knee_cmt,reference_energy_j,comparison_energy_j,reference_displacement_m,comparison_displacement_m,initial_q1_deg,initial_q2_deg,initial_q3_deg,initial_q4_deg,initial_dq1_rad_s,initial_dq2_rad_s,initial_dq3_rad_s,initial_dq4_rad_s,reference_terminal_reason,comparison_terminal_reason
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,20260702,6,1.0,touchdown,0.3,0.0,active,active_full,v22_3_active_bidirectional_4Nm_grid,v22_3_active_full_4Nm_grid,True,True,True,True,0.2124375488730722,0.2124375488730722,0.014343650528987343,0.19809389834408486,0.0,0.014343650528987343,0.19809389834408486,0.0,0.04480866178388006,0.04480866178388006,0.008453024009269255,0.008453024009269255,59.84078924812002,17.501845962940788,50.03885053246253,45.811933964065794,-0.6688456976475936,-0.7101693985657469,0.09956599454175441,-0.3842858040427144,success,success
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,20260702,6,1.0,touchdown,0.3,0.0,active,per_step_sign,v22_3_active_bidirectional_4Nm_grid,v22_3_per_step_sign_4Nm_grid,True,True,True,True,0.2124375488730722,0.2124375488730722,0.014343650528987343,0.19809389834408486,0.0,0.014343650528987343,0.19809389834408486,0.0,0.04480866178388006,0.04480866178388006,0.008453024009269255,0.008453024009269255,59.84078924812002,17.501845962940788,50.03885053246253,45.811933964065794,-0.6688456976475936,-0.7101693985657469,0.09956599454175441,-0.3842858040427144,success,success
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,20260702,7,1.0,mid_cross,0.3,0.0,active,active_full,v22_3_active_bidirectional_4Nm_grid,v22_3_active_full_4Nm_grid,False,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,2.286726913647495,2.1817567343166098,0.29389849258332834,0.2546000386249182,57.97530155279033,28.40249509614897,10.47440112955593,95.66176999109317,-0.83887887506476,-0.07251046074681278,0.6248172322740067,-0.09520487866960414,clearance_ground+foot_ground_before_ready,q1_low_limit
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,20260702,7,1.0,mid_cross,0.3,0.0,active,per_step_sign,v22_3_active_bidirectional_4Nm_grid,v22_3_per_step_sign_4Nm_grid,False,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,2.286726913647495,2.168034357627481,0.29389849258332834,0.21662209559303278,57.97530155279033,28.40249509614897,10.47440112955593,95.66176999109317,-0.83887887506476,-0.07251046074681278,0.6248172322740067,-0.09520487866960414,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,20260702,8,1.0,mid_cross,0.3,0.0,active,active_full,v22_3_active_bidirectional_4Nm_grid,v22_3_active_full_4Nm_grid,False,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,1.2070412971212736,0.6878830684947593,0.013405916046721743,0.004804904053781345,60.448536403729996,61.11083448682826,-5.3740965945260335,85.97901810757776,0.23380332954172056,0.20395858102760056,-0.9905715415240453,-0.4100723215637704,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,20260702,8,1.0,mid_cross,0.3,0.0,active,per_step_sign,v22_3_active_bidirectional_4Nm_grid,v22_3_per_step_sign_4Nm_grid,False,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,1.2070412971212736,0.953062042816085,0.013405916046721743,0.004672208522873639,60.448536403729996,61.11083448682826,-5.3740965945260335,85.97901810757776,0.23380332954172056,0.20395858102760056,-0.9905715415240453,-0.4100723215637704,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,20260702,9,1.0,touchdown,0.3,0.0,active,active_full,v22_3_active_bidirectional_4Nm_grid,v22_3_active_full_4Nm_grid,True,True,True,True,0.09606320761864166,0.19328506363968256,0.011304014333342103,0.08041671165540018,0.004342481629899389,0.004269174130773266,0.1890158895089093,0.0,0.04780884157067903,0.09937608306632756,0.01994493141504286,0.02060463809067392,47.71778750380839,37.98538097665226,47.78480175767103,61.25158985027718,-0.40808381073669464,-0.9556718816555063,-0.7299946172610385,-0.49211036810685593,success,success
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,20260702,9,1.0,touchdown,0.3,0.0,active,per_step_sign,v22_3_active_bidirectional_4Nm_grid,v22_3_per_step_sign_4Nm_grid,True,True,True,True,0.09606320761864166,0.04727996970369694,0.011304014333342103,0.08041671165540018,0.004342481629899389,0.003642903905264874,0.043637065798432066,0.0,0.04780884157067903,0.023945471617725728,0.01994493141504286,0.02029680204325654,47.71778750380839,37.98538097665226,47.78480175767103,61.25158985027718,-0.40808381073669464,-0.9556718816555063,-0.7299946172610385,-0.49211036810685593,success,success
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,20260702,10,1.0,touchdown,0.3,0.0,active,active_full,v22_3_active_bidirectional_4Nm_grid,v22_3_active_full_4Nm_grid,False,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,0.29137742570028224,0.10521588230423014,-0.015028853567296191,-0.015103724399954443,50.39775126994908,34.652498739783546,56.86643919188664,65.78277986860259,0.1759468048061914,0.42831748134339875,0.9042866304821078,-0.17001766381283379,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,20260702,10,1.0,touchdown,0.3,0.0,active,per_step_sign,v22_3_active_bidirectional_4Nm_grid,v22_3_per_step_sign_4Nm_grid,False,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,0.29137742570028224,0.10521588230423014,-0.015028853567296191,-0.015103724399954443,50.39775126994908,34.652498739783546,56.86643919188664,65.78277986860259,0.1759468048061914,0.42831748134339875,0.9042866304821078,-0.17001766381283379,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,20260702,11,1.0,mid_cross,0.3,0.0,active,active_full,v22_3_active_bidirectional_4Nm_grid,v22_3_active_full_4Nm_grid,False,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,1.9219602936208475,1.734792413498039,0.14942392251776604,0.15104730410886721,69.65666223500146,33.563519883364094,-10.636592441027739,88.2587545025531,-0.18845970636435405,-0.9344504082762992,0.3085730130237849,0.04597047225341433,clearance_ground+foot_ground_before_ready,q1_low_limit
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,20260702,11,1.0,mid_cross,0.3,0.0,active,per_step_sign,v22_3_active_bidirectional_4Nm_grid,v22_3_per_step_sign_4Nm_grid,False,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,1.9219602936208475,2.0217184572938978,0.14942392251776604,0.1381375862739677,69.65666223500146,33.563519883364094,-10.636592441027739,88.2587545025531,-0.18845970636435405,-0.9344504082762992,0.3085730130237849,0.04597047225341433,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready
