eval_label,reference_controller,comparison_controller,total_pairs,both_valid_pairs,reference_valid_only_pairs,comparison_valid_only_pairs,neither_valid_pairs,both_valid_rate,reference_valid_rate,comparison_valid_rate,reference_mean_cmt_on_both_valid,comparison_mean_cmt_on_both_valid,mean_comparison_minus_reference_cmt,median_comparison_minus_reference_cmt,mean_comparison_over_reference_cmt,fraction_comparison_lower_cmt
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active,active_full,2160,439,19,35,1667,0.20324074074074075,0.21203703703703702,0.21944444444444444,1.441219522369286,1.0919176416467804,-0.3493018807225054,0.0,1.5986384188984404,0.4646924829157175
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active,per_step_sign,2160,437,21,36,1666,0.2023148148148148,0.21203703703703702,0.21898148148148147,1.4266657513664718,1.1689715743192461,-0.25769417704722586,0.0,1.4737922504726024,0.43935926773455375
