eval_label,seed,episode_index,walk_direction,reset_phase,controller,policy_name,passive_mode,passive_selected_from,curriculum_progress,hip_torque_nm,knee_torque_nm,commanded_step_length_m,commanded_step_height_m,success,valid_for_cmt,terminal_reason,steps,nonzero_torque_steps,energy_j,support_knee_energy_j,hip_energy_j,swing_knee_energy_j,signed_com_displacement_m,cmt,support_knee_cmt,hip_cmt,swing_knee_cmt,initial_q1_deg,initial_q2_deg,initial_q3_deg,initial_q4_deg,initial_dq1_rad_s,initial_dq2_rad_s,initial_dq3_rad_s,initial_dq4_rad_s,final_q1_deg,final_q2_deg,final_q3_deg,final_q4_deg,candidate_for_mode
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,20260702,1,1.0,touchdown,passive_sign_selector,v22_3_passive_positive_4Nm_grid,sign_selector,selector_positive_p0.725,1.0,4.0,0.2,0.3,0.0,True,True,success,8,8,0.005510755398590168,0.0,0.0,0.005510755398590168,0.010146734505068256,0.021765379721418253,0.0,0.0,0.021765379721418253,58.680345398453916,23.64651943546562,56.838609495413614,58.56724411403598,-0.41617978738246686,0.3732166724365158,-0.3415434093881824,0.02045006279514805,47.36939918325158,40.15255916659699,45.56700579474978,45.60700867249657,sign_selector
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,20260702,1,1.0,touchdown,passive_oracle_candidate,v22_3_passive_positive_4Nm_grid,oracle_best_cmt,positive,1.0,4.0,0.2,0.3,0.0,True,True,success,8,8,0.005510755398590168,0.0,0.0,0.005510755398590168,0.010146734505068256,0.021765379721418253,0.0,0.0,0.021765379721418253,58.680345398453916,23.64651943546562,56.838609495413614,58.56724411403598,-0.41617978738246686,0.3732166724365158,-0.3415434093881824,0.02045006279514805,47.36939918325158,40.15255916659699,45.56700579474978,45.60700867249657,oracle_best_cmt
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,20260702,1,1.0,touchdown,passive_oracle_candidate,v22_3_passive_negative_4Nm_grid,oracle_best_cmt,negative,1.0,4.0,0.2,0.3,0.0,False,False,clearance_ground+foot_ground_before_ready,8,8,0.13838114510517677,0.0,0.0997691183308416,0.03861202677433518,0.005104094753997451,nan,nan,nan,nan,58.680345398453916,23.64651943546562,56.838609495413614,58.56724411403598,-0.41617978738246686,0.3732166724365158,-0.3415434093881824,0.02045006279514805,46.80150578934606,41.96133432393856,39.02278216104759,30.04382187350058,oracle_best_cmt
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,20260702,2,1.0,mid_cross,passive_sign_selector,v22_3_passive_positive_4Nm_grid,sign_selector,selector_positive_p0.985,1.0,4.0,0.2,0.3,0.0,False,False,clearance_ground+foot_ground_before_ready,25,25,0.7627796110179249,0.019534907495017063,0.6584094138278509,0.08483528969505691,0.14501457298139478,nan,nan,nan,nan,72.8791975562144,25.430086991990727,9.963143636119923,99.69293879609181,-0.7421914594445489,-0.5355265917055565,-0.5357795649724029,0.2856667612214875,31.714875376473927,66.4492007057899,30.795695424667482,1.2257848633615354,sign_selector
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,20260702,2,1.0,mid_cross,passive_oracle_candidate,v22_3_passive_positive_4Nm_grid,oracle_best_cmt,positive,1.0,4.0,0.2,0.3,0.0,False,False,clearance_ground+foot_ground_before_ready,25,25,0.7627796110179249,0.019534907495017063,0.6584094138278509,0.08483528969505691,0.14501457298139478,nan,nan,nan,nan,72.8791975562144,25.430086991990727,9.963143636119923,99.69293879609181,-0.7421914594445489,-0.5355265917055565,-0.5357795649724029,0.2856667612214875,31.714875376473927,66.4492007057899,30.795695424667482,1.2257848633615354,oracle_best_cmt
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,20260702,2,1.0,mid_cross,passive_oracle_candidate,v22_3_passive_negative_4Nm_grid,oracle_best_cmt,negative,1.0,4.0,0.2,0.3,0.0,False,False,clearance_ground+foot_ground_before_ready,14,14,0.18124593972098885,0.000154906986299037,0.0,0.18109103273468982,0.05461602846297416,nan,nan,nan,nan,72.8791975562144,25.430086991990727,9.963143636119923,99.69293879609181,-0.7421914594445489,-0.5355265917055565,-0.5357795649724029,0.2856667612214875,44.73029369443186,58.087607950752286,-16.383140067105842,43.89369813042976,oracle_best_cmt
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,20260702,3,1.0,mid_cross,passive_sign_selector,v22_3_passive_positive_4Nm_grid,sign_selector,selector_positive_p0.996,1.0,4.0,0.2,0.3,0.0,False,False,clearance_ground+foot_ground_before_ready,23,23,0.9780974083007604,0.01327591555808723,0.8807468023635805,0.08407469037909263,0.031000498477086455,nan,nan,nan,nan,61.77548911808013,33.626622868443974,-8.95613299293761,79.41234104391279,0.5952694121984281,-0.6502003662311568,-0.9961446299242014,-0.4381593725543135,38.799300516755125,77.59050487705935,14.990366256398046,5.311645792789659,sign_selector
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,20260702,3,1.0,mid_cross,passive_oracle_candidate,v22_3_passive_positive_4Nm_grid,oracle_best_cmt,positive,1.0,4.0,0.2,0.3,0.0,False,False,clearance_ground+foot_ground_before_ready,23,23,0.9780974083007604,0.01327591555808723,0.8807468023635805,0.08407469037909263,0.031000498477086455,nan,nan,nan,nan,61.77548911808013,33.626622868443974,-8.95613299293761,79.41234104391279,0.5952694121984281,-0.6502003662311568,-0.9961446299242014,-0.4381593725543135,38.799300516755125,77.59050487705935,14.990366256398046,5.311645792789659,oracle_best_cmt
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,20260702,3,1.0,mid_cross,passive_oracle_candidate,v22_3_passive_negative_4Nm_grid,oracle_best_cmt,negative,1.0,4.0,0.2,0.3,0.0,False,False,clearance_ground+foot_ground_before_ready,13,13,0.14953419808361998,0.00038327390285587177,0.0,0.14915092418076412,-0.011005962207318698,nan,nan,nan,nan,61.77548911808013,33.626622868443974,-8.95613299293761,79.41234104391279,0.5952694121984281,-0.6502003662311568,-0.9961446299242014,-0.4381593725543135,45.02727836544078,63.26861208679798,-38.199343605427934,24.06598197066981,oracle_best_cmt
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,20260702,4,1.0,touchdown,passive_sign_selector,v22_3_passive_positive_4Nm_grid,sign_selector,selector_positive_p0.762,1.0,4.0,0.2,0.3,0.0,True,True,success,6,6,0.009467581411630045,0.0,0.0,0.009467581411630045,0.025080550054330825,0.015128065695130435,0.0,0.0,0.015128065695130435,54.908059785390925,21.313759138702984,61.74329484257774,64.6835834156522,-0.9551598553085852,-0.1054132594870325,-0.871233472203875,0.19543372275914028,47.73145046535552,26.118472462143544,57.27259191531027,61.88333440386828,sign_selector
