split,seed,episode_index,walk_direction,reset_phase,commanded_step_length_m,commanded_step_height_m,label,label_name,label_reason,pos_success,pos_valid,pos_cmt,pos_energy_j,pos_displacement_m,pos_reason,neg_success,neg_valid,neg_cmt,neg_energy_j,neg_displacement_m,neg_reason
train,20260811,27,1.0,mid_cross,0.3,0.0,,,no_success,False,False,nan,0.890837891974052,0.018556221501468448,clearance_ground+foot_ground_before_ready,False,False,nan,0.10691379595137718,-0.01659345790418683,clearance_ground+foot_ground_before_ready
train,20260811,28,1.0,mid_cross,0.3,0.0,,,no_success,False,False,nan,0.29592379473383956,-0.003432581005648222,clearance_ground+foot_ground_before_ready,False,False,nan,0.024434641543274856,-0.00842244776975161,clearance
train,20260811,29,1.0,touchdown,0.3,0.0,,,both_success_no_valid_cmt,True,False,nan,0.013618999871526368,-0.023051901604559333,success,True,False,nan,0.053469647910037305,-0.020781282820138386,success
train,20260811,30,1.0,touchdown,0.3,0.0,0,positive,both_success_positive_valid_only,True,True,0.037491314038965905,0.02558022478436275,0.027343563002184934,success,True,False,nan,0.04400529095399306,0.005238401148367849,success
train,20260811,31,1.0,touchdown,0.3,0.0,0,positive,positive_lower_cmt,True,True,0.0037625775884219744,0.0006949399996182823,0.007401900722804555,success,True,True,0.2512953645652416,0.08357041823212254,0.013327525081846509,success
train,20260811,32,1.0,touchdown,0.3,0.0,,,both_success_no_valid_cmt,True,False,nan,0.019284951512724406,-0.010947211881413288,success,True,False,nan,0.09519292214845736,-0.010613089080449334,success
train,20260811,33,1.0,touchdown,0.3,0.0,,,both_success_no_valid_cmt,True,False,nan,0.0,0.0002655497212271096,success,True,False,nan,0.0,0.0002655497212271096,success
train,20260811,34,1.0,touchdown,0.3,0.0,0,positive,positive_lower_cmt,True,True,0.014213631845242498,0.008567799156202519,0.024157146077650044,success,True,True,0.04147305473655043,0.024451137168273157,0.023627319147727227,success
train,20260811,35,1.0,mid_cross,0.3,0.0,,,no_success,False,False,nan,0.2517432341564784,0.06327474321509495,clearance_ground+foot_ground_before_ready,False,False,nan,0.10869572684688421,0.039033802514239865,clearance_ground+foot_ground_before_ready
train,20260811,36,1.0,mid_cross,0.3,0.0,,,no_success,False,False,nan,0.3276550705690098,0.0018332316397191573,clearance_ground+foot_ground_before_ready,False,False,nan,0.14194538091984807,0.0037054285544868976,clearance_ground+foot_ground_bad_clearance
